Generation	Population	RecentBirths	RecentDeaths	RecentMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
1.051186	14	19	13	19	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	13	1	1	13	13	14	0	0	0	0	0	0	0	0	0	0
2.056545	18	29	19	29	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	17	1	1	17	17	18	0	0	0	0	0	0	0	0	0	0
3.271328	24	48	32	48	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	24	1	1	24	24	24	0	0	0	0	0	0	0	0	0	0
4.278586	36	76	48	76	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	35	1	1	35	35	36	0	0	0	0	0	0	0	0	0	0
5.284250	46	129	91	129	0.021739	0.000000	0.021267	0.000000	1.000000	1.000000	0.000000	0.000000	46	2	1	46	46	46	0	0	0	0	0	0	0	0	0	0
6.326008	60	186	134	186	0.033333	0.000000	0.032222	0.000000	1.000000	1.000000	0.000000	0.000000	59	3	1	59	59	60	0	0	0	0	0	0	0	0	0	0
7.326137	68	234	174	234	0.044118	0.000000	0.042171	0.000000	1.000000	1.000000	0.000000	0.000000	68	4	1	68	68	68	0	0	0	0	0	0	0	0	0	0
8.328398	86	319	241	319	0.081395	0.000000	0.074770	0.000000	1.000000	1.000000	0.000000	0.000000	85	7	1	85	85	86	0	0	0	0	0	0	0	0	0	0
9.334940	99	426	335	426	0.040404	0.000000	0.038772	0.000000	1.000000	1.000000	0.000000	0.000000	98	4	1	98	98	99	0	0	0	0	0	0	0	0	0	0
10.340827	119	44	35	44	0.050420	0.000000	0.047878	0.000000	1.000000	1.000000	0.000000	0.000000	118	4	1	118	118	119	0	0	0	0	0	0	0	0	0	0
11.344090	138	164	136	164	0.050725	0.000000	0.048152	0.000000	1.000000	1.000000	0.000000	0.000000	137	5	1	137	137	138	0	0	0	0	0	0	0	0	0	0
12.344290	160	318	268	318	0.050000	0.000000	0.047500	0.000000	1.000000	1.000000	0.000000	0.000000	160	4	1	160	160	160	0	0	0	0	0	0	0	0	0	0
13.349427	182	500	428	500	0.043956	0.000000	0.042024	0.000000	1.000000	1.000000	0.000000	0.000000	181	4	1	181	181	182	0	0	0	0	0	0	0	0	0	0
14.351627	208	700	602	700	0.096154	0.000000	0.086908	0.000000	1.000000	1.000000	0.000000	0.000000	207	5	1	207	207	208	0	0	0	0	0	0	0	0	0	0
15.357372	230	900	780	900	0.086957	0.000000	0.088091	0.000000	1.000000	1.000000	0.000000	0.000000	228	7	1	228	228	230	0	0	0	0	0	0	0	0	0	0
16.359848	251	1191	1050	1191	0.115538	0.000000	0.118125	0.000000	1.000000	1.000000	0.000000	0.000000	249	10	1	249	249	251	0	0	0	0	0	0	0	0	0	0
17.362700	282	1454	1282	1454	0.113475	0.000000	0.121875	0.000000	1.000000	1.000000	0.000000	0.000000	280	9	1	280	280	282	0	0	0	0	0	0	0	0	0	0
18.363434	321	1760	1549	1760	0.137072	0.000000	0.136975	0.000000	1.000000	1.000000	0.000000	0.000000	319	13	1	319	319	321	0	0	0	0	0	0	0	0	0	0
19.363745	347	2116	1879	2116	0.141210	0.000000	0.127034	0.000000	1.000000	1.000000	0.000000	0.000000	345	13	1	345	345	347	0	0	0	0	0	0	0	0	0	0
20.365755	379	133	123	133	0.163588	0.000000	0.163212	0.000000	1.000000	1.000000	0.000000	0.000000	378	17	1	378	378	379	0	0	0	0	0	0	0	0	0	0
21.365849	408	540	501	540	0.169118	0.000000	0.179733	0.000000	1.000000	1.000000	0.000000	0.000000	407	18	1	406	406	408	0	0	0	0	0	0	0	0	0	0
22.369749	448	1002	923	1002	0.169643	0.000000	0.194436	0.000000	1.000000	1.000000	0.000000	0.000000	446	25	1	445	445	448	0	0	0	0	0	0	0	0	0	0
23.372595	483	1438	1324	1438	0.175983	0.000000	0.178140	0.000000	1.000000	1.000000	0.000000	0.000000	481	28	1	481	481	483	0	0	0	0	0	0	0	0	0	0
24.374727	531	1960	1798	1960	0.180791	0.000000	0.178237	0.000000	1.000000	1.000000	0.000000	0.000000	527	33	1	527	527	531	0	0	0	0	0	0	0	0	0	0
25.377506	578	2486	2277	2486	0.174740	0.000000	0.175348	0.000000	1.000000	1.000000	0.000000	0.000000	576	34	1	576	576	578	0	0	0	0	0	0	0	0	0	0
26.379026	632	3069	2806	3069	0.199367	0.000000	0.197595	0.000000	1.000000	1.000000	0.000000	0.000000	631	35	1	631	631	632	0	0	0	0	0	0	0	0	0	0
27.379089	679	3730	3420	3730	0.197349	0.000000	0.208476	0.000000	1.000000	1.000000	0.000000	0.000000	678	38	1	678	678	679	0	0	0	0	0	0	0	0	0	0
28.380199	726	4440	4083	4440	0.214876	0.000000	0.212781	0.000000	1.000000	1.000000	0.000000	0.000000	724	44	1	724	724	726	0	0	0	0	0	0	0	0	0	0
29.381210	761	5173	4781	5173	0.253614	0.000000	0.278650	0.000000	1.000000	1.000000	0.000000	0.000000	760	50	1	759	759	761	0	0	0	0	0	0	0	0	0	0
30.381319	807	288	273	288	0.270136	0.000000	0.254164	0.000000	1.000000	1.000000	0.000000	0.000000	806	56	1	805	805	807	0	0	0	0	0	0	0	0	0	0
31.381702	867	1121	1046	1121	0.310265	0.000000	0.315500	0.000000	1.000000	1.000000	0.000000	0.000000	864	61	1	861	861	867	0	0	0	0	0	0	0	0	0	0
32.382233	930	2025	1887	2025	0.319355	0.000000	0.316292	0.000000	1.000000	1.000000	0.000000	0.000000	927	65	1	924	924	930	0	0	0	0	0	0	0	0	0	0
33.382324	993	2983	2782	2983	0.341390	0.000000	0.317491	0.000000	1.000000	1.000000	0.000000	0.000000	990	70	1	989	989	993	0	0	0	0	0	0	0	0	0	0
34.383183	1070	4021	3743	4021	0.365421	0.000000	0.329085	0.000000	1.000000	1.000000	0.000000	0.000000	1066	70	1	1064	1064	1070	0	0	0	0	0	0	0	0	0	0
35.383396	1145	5098	4745	5098	0.401747	0.000000	0.362617	0.000000	1.000000	1.000000	0.000000	0.000000	1143	80	1	1142	1142	1145	0	0	0	0	0	0	0	0	0	0
36.383896	1218	6306	5880	6306	0.423645	0.000000	0.352544	0.000000	1.000000	1.000000	0.000000	0.000000	1215	88	1	1215	1215	1218	0	0	0	0	0	0	0	0	0	0
37.383919	1281	7534	7045	7534	0.444184	0.000000	0.376471	0.000000	1.000000	1.000000	0.000000	0.000000	1274	94	1	1274	1274	1281	0	0	0	0	0	0	0	0	0	0
