Population	Parent	Identity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	AlleleCount
884	0	0	0	0	1	0	1.000000	1.000000	0.000000	1029
6	0	19	1	0	1	0	1.012506	1.000000	0.946821	6
1	128	185	2	0	0	0	1.059765	1.000000	9.669064	1
1	0	167	1	0	0	0	1.079833	1.000000	9.051682	1
6	0	4	1	0	1	0	1.107962	1.000000	0.171981	6
3	0	101	1	0	0	0	1.095139	1.000000	5.664307	3
3	0	154	1	0	0	0	1.084220	1.000000	8.334476	3
2	0	9	1	0	0	0	1.048804	1.000000	0.430169	2
4	0	57	1	0	0	0	1.009705	1.000000	3.305720	4
2	0	163	1	0	0	0	1.012052	1.000000	8.791725	2
3	0	165	1	0	0	0	1.012389	1.000000	8.862124	3
5	0	23	1	0	1	0	1.043122	1.000000	1.040656	5
4	0	24	1	0	1	0	1.025517	1.000000	1.201953	4
2	0	87	1	0	1	0	1.016650	1.000000	5.086700	5
4	0	26	1	0	0	0	1.016675	1.000000	1.449973	4
3	0	30	1	0	0	0	1.058707	1.000000	1.514930	3
1	0	140	1	0	0	0	1.093892	1.000000	7.788169	1
4	0	155	1	0	0	0	1.023126	1.000000	8.341307	4
2	72	146	2	0	0	0	1.233430	1.000000	8.024055	2
1	0	128	1	0	1	0	1.013323	1.000000	6.948217	2
7	0	49	1	0	1	0	1.142387	1.000000	2.857918	8
1	0	158	1	0	0	0	1.093092	1.000000	8.542406	1
4	0	153	1	0	0	0	1.059219	1.000000	8.248454	4
2	0	110	1	0	0	0	1.042945	1.000000	6.227393	2
2	0	58	1	0	0	0	1.056929	1.000000	3.358457	2
1	0	106	1	0	0	0	1.115293	1.000000	5.877268	1
5	0	160	1	0	0	0	1.015990	1.000000	8.714167	5
1	49	181	2	0	0	0	1.146136	1.000000	9.505721	1
2	0	62	1	0	0	0	1.088360	1.000000	3.465959	2
1	0	68	1	0	0	0	1.014897	1.000000	4.009574	1
2	0	66	1	0	0	0	1.067378	1.000000	3.711824	2
2	0	148	1	0	0	0	1.028036	1.000000	8.101415	2
6	0	72	1	0	1	0	1.203044	1.000000	4.219216	8
2	0	131	1	0	0	0	1.032207	1.000000	7.054327	2
2	0	164	1	0	0	0	1.050308	1.000000	8.828046	2
3	0	83	1	0	0	0	1.020412	1.000000	4.753857	3
1	0	76	1	0	0	0	1.029626	1.000000	4.323907	1
7	0	97	1	0	0	0	1.052012	1.000000	5.395121	7
7	0	98	1	0	1	0	1.055111	1.000000	5.409542	7
4	0	136	1	0	0	0	1.019784	1.000000	7.628834	4
1	0	187	1	0	0	0	1.017421	1.000000	9.883312	1
3	0	133	1	0	0	0	1.016444	1.000000	7.291169	3
3	0	151	1	0	0	0	1.007681	1.000000	8.214676	3
3	87	117	2	0	0	0	1.106037	1.000000	6.374577	3
3	0	118	1	0	0	0	1.081304	1.000000	6.383951	3
4	0	120	1	0	0	0	1.058649	1.000000	6.396462	4
1	0	188	1	0	0	0	1.062462	1.000000	9.934187	1
3	0	124	1	0	0	0	1.002880	1.000000	6.572926	3
1	0	169	1	0	0	0	1.117639	1.000000	9.156325	1
1	0	170	1	0	0	0	1.017868	1.000000	9.167359	1
1	0	171	1	0	0	0	1.005202	1.000000	9.167359	1
1	0	172	1	0	0	0	1.018524	1.000000	9.190133	1
1	0	176	1	0	0	0	1.050019	1.000000	9.378148	1
