NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1000	1	-1	-1	0.000000	0	0	1000	1.000000	0.707107	0.000000	0	0	0
1019	1	-1	-1	1.000272	0	0	998	1.000000	0.707107	0.000000	0	0	0
1019	1	-1	-1	1.000272	3	0	1	1.011630	0.707107	0.155387	1	0	0
1029	1	-1	-1	2.001420	0	0	992	1.000000	0.707107	0.000000	0	0	0
1029	1	-1	-1	2.001420	3	0	0	1.011630	0.707107	0.155387	1	0	0
1042	1	-1	-1	3.001876	0	0	991	1.000000	0.707107	0.000000	0	0	0
1042	1	-1	-1	3.001876	3	0	0	1.011630	0.707107	0.155387	1	0	0
1042	1	-1	-1	3.001876	4	0	9	1.034236	0.707107	0.258093	1	0	0
1051	1	-1	-1	4.002225	0	0	977	1.000000	0.707107	0.000000	0	0	0
1051	1	-1	-1	4.002225	3	0	0	1.011630	0.707107	0.155387	1	0	0
1051	1	-1	-1	4.002225	4	0	7	1.034236	0.707107	0.258093	1	0	0
1051	1	-1	-1	4.002225	58	0	5	1.130120	0.707107	2.620438	1	0	0
1053	1	-1	-1	5.002352	0	0	974	1.000000	0.707107	0.000000	0	0	0
1053	1	-1	-1	5.002352	3	0	0	1.011630	0.707107	0.155387	1	0	0
1053	1	-1	-1	5.002352	4	0	8	1.034236	0.707107	0.258093	1	0	0
1053	1	-1	-1	5.002352	54	0	1	1.003814	0.707107	2.466045	1	0	0
1053	1	-1	-1	5.002352	16	0	9	1.065674	0.707107	0.595963	1	0	0
1053	1	-1	-1	5.002352	58	0	4	1.130120	0.707107	2.620438	1	0	0
1054	1	-1	-1	6.002693	0	0	956	1.000000	0.707107	0.000000	0	0	0
1054	1	-1	-1	6.002693	3	0	0	1.011630	0.707107	0.155387	1	0	0
1054	1	-1	-1	6.002693	4	0	8	1.034236	0.707107	0.258093	1	0	0
1054	1	-1	-1	6.002693	54	0	1	1.003814	0.707107	2.466045	1	0	0
1054	1	-1	-1	6.002693	16	0	9	1.065674	0.707107	0.595963	1	0	0
1054	1	-1	-1	6.002693	78	0	0	1.000928	0.707107	3.729477	1	0	0
1054	1	-1	-1	6.002693	58	0	4	1.130120	0.707107	2.620438	1	0	0
1055	1	-1	-1	7.003056	0	0	950	1.000000	0.707107	0.000000	0	0	0
1055	1	-1	-1	7.003056	3	0	0	1.011630	0.707107	0.155387	1	0	0
1055	1	-1	-1	7.003056	4	0	6	1.034236	0.707107	0.258093	1	0	0
1055	1	-1	-1	7.003056	54	0	2	1.003814	0.707107	2.466045	1	0	0
1055	1	-1	-1	7.003056	16	0	13	1.065674	0.707107	0.595963	1	0	0
1055	1	-1	-1	7.003056	101	0	3	1.025087	0.707107	4.660004	1	0	0
1055	1	-1	-1	7.003056	78	0	0	1.000928	0.707107	3.729477	1	0	0
1055	1	-1	-1	7.003056	42	0	5	1.214778	0.707107	1.949910	1	0	0
1055	1	-1	-1	7.003056	58	0	2	1.130120	0.707107	2.620438	1	0	0
1055	1	-1	-1	7.003056	48	0	6	1.026968	0.707107	2.229193	1	0	0
1055	1	-1	-1	7.003056	126	0	1	1.127379	0.707107	5.804044	1	0	0
1059	1	-1	-1	8.003112	0	0	941	1.000000	0.707107	0.000000	0	0	0
1059	1	-1	-1	8.003112	3	0	0	1.011630	0.707107	0.155387	1	0	0
1059	1	-1	-1	8.003112	4	0	3	1.034236	0.707107	0.258093	1	0	0
1059	1	-1	-1	8.003112	54	0	1	1.003814	0.707107	2.466045	1	0	0
1059	1	-1	-1	8.003112	16	0	9	1.065674	0.707107	0.595963	1	0	0
1059	1	-1	-1	8.003112	101	0	4	1.025087	0.707107	4.660004	1	0	0
1059	1	-1	-1	8.003112	97	0	0	1.068977	0.707107	4.469622	1	0	0
1059	1	-1	-1	8.003112	112	0	2	1.027094	0.707107	5.104391	1	0	0
1059	1	-1	-1	8.003112	78	0	0	1.000928	0.707107	3.729477	1	0	0
1059	1	-1	-1	8.003112	42	0	3	1.214778	0.707107	1.949910	1	0	0
1059	1	-1	-1	8.003112	58	0	4	1.130120	0.707107	2.620438	1	0	0
1059	1	-1	-1	8.003112	48	0	4	1.026968	0.707107	2.229193	1	0	0
1059	1	-1	-1	8.003112	76	0	2	1.025075	0.707107	3.677144	1	0	0
1059	1	-1	-1	8.003112	126	0	1	1.127379	0.707107	5.804044	1	0	0
1061	1	-1	-1	9.004877	0	0	914	1.000000	0.707107	0.000000	0	0	0
1061	1	-1	-1	9.004877	3	0	0	1.011630	0.707107	0.155387	1	0	0
1061	1	-1	-1	9.004877	4	0	3	1.034236	0.707107	0.258093	1	0	0
1061	1	-1	-1	9.004877	54	0	0	1.003814	0.707107	2.466045	1	0	0
1061	1	-1	-1	9.004877	121	0	3	1.006956	0.707107	5.554334	1	0	0
1061	1	-1	-1	9.004877	16	0	10	1.065674	0.707107	0.595963	1	0	0
1061	1	-1	-1	9.004877	18	0	8	1.050223	0.707107	0.681867	1	0	0
1061	1	-1	-1	9.004877	27	0	5	1.200993	0.707107	1.401155	1	0	0
1061	1	-1	-1	9.004877	101	0	6	1.025087	0.707107	4.660004	1	0	0
1061	1	-1	-1	9.004877	97	0	0	1.068977	0.707107	4.469622	1	0	0
1061	1	-1	-1	9.004877	112	0	2	1.027094	0.707107	5.104391	1	0	0
1061	1	-1	-1	9.004877	78	0	0	1.000928	0.707107	3.729477	1	0	0
1061	1	-1	-1	9.004877	42	0	2	1.214778	0.707107	1.949910	1	0	0
1061	1	-1	-1	9.004877	58	0	2	1.130120	0.707107	2.620438	1	0	0
1061	1	-1	-1	9.004877	48	0	7	1.026968	0.707107	2.229193	1	0	0
1061	1	-1	-1	9.004877	76	0	3	1.025075	0.707107	3.677144	1	0	0
1061	1	-1	-1	9.004877	126	0	1	1.127379	0.707107	5.804044	1	0	0
1060	1	-1	-1	10.000235	0	0	890	1.000000	0.707107	0.000000	0	0	0
1060	1	-1	-1	10.000235	1	0	1	1.057920	0.707107	0.052015	1	0	0
1060	1	-1	-1	10.000235	3	0	0	1.011630	0.707107	0.155387	1	0	0
1060	1	-1	-1	10.000235	4	0	4	1.034236	0.707107	0.258093	1	0	0
1060	1	-1	-1	10.000235	54	0	0	1.003814	0.707107	2.466045	1	0	0
1060	1	-1	-1	10.000235	75	0	8	1.029965	0.707107	3.674491	1	0	0
1060	1	-1	-1	10.000235	121	0	1	1.006956	0.707107	5.554334	1	0	0
1060	1	-1	-1	10.000235	16	0	13	1.065674	0.707107	0.595963	1	0	0
1060	1	-1	-1	10.000235	18	0	4	1.050223	0.707107	0.681867	1	0	0
1060	1	-1	-1	10.000235	27	0	10	1.200993	0.707107	1.401155	1	0	0
1060	1	-1	-1	10.000235	101	0	9	1.025087	0.707107	4.660004	1	0	0
1060	1	-1	-1	10.000235	97	0	0	1.068977	0.707107	4.469622	1	0	0
1060	1	-1	-1	10.000235	112	0	1	1.027094	0.707107	5.104391	1	0	0
1060	1	-1	-1	10.000235	115	0	7	1.070434	0.707107	5.213964	1	0	0
1060	1	-1	-1	10.000235	78	0	0	1.000928	0.707107	3.729477	1	0	0
1060	1	-1	-1	10.000235	42	0	3	1.214778	0.707107	1.949910	1	0	0
1060	1	-1	-1	10.000235	58	0	1	1.130120	0.707107	2.620438	1	0	0
1060	1	-1	-1	10.000235	48	0	9	1.026968	0.707107	2.229193	1	0	0
1060	1	-1	-1	10.000235	76	0	0	1.025075	0.707107	3.677144	1	0	0
1060	1	-1	-1	10.000235	153	0	7	1.129835	0.707107	7.077131	1	0	0
1060	1	-1	-1	10.000235	126	0	3	1.127379	0.707107	5.804044	1	0	0
