Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1000	0	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	7.071068e-01	0.000000e+00	0.000000e+00	500	1	1	500	500	1	1	1	1000	0	0	0	0	0	0	0	0	0	0
1.000275	1015	955	940	666	0.015764	0.010837	0.015515	0.012690	1.000613e+00	7.071068e-01	7.936035e-05	0.000000e+00	532	24	11	507	507	24	12	40	1005	9	1	0	0	0	0	0	0	0	0
2.000446	1030	2012	1982	1370	0.030097	0.035922	0.029191	0.040457	1.002396e+00	7.071068e-01	2.955978e-04	0.000000e+00	569	46	22	516	516	48	24	86	996	31	3	0	0	0	0	0	0	0	0
3.000658	1038	3089	3051	2111	0.058767	0.052023	0.055313	0.051243	1.002901e+00	7.071068e-01	2.978951e-04	0.000000e+00	603	67	34	519	519	67	34	132	985	52	1	0	0	0	0	0	0	0	0
4.000748	1045	4143	4098	2813	0.061244	0.062201	0.057493	0.058332	1.004313e+00	7.071068e-01	4.568623e-04	0.000000e+00	610	69	36	522	522	72	37	176	980	65	0	0	0	0	0	0	0	0	0
5.001372	1053	5227	5174	3567	0.069326	0.070275	0.066419	0.065337	1.004899e+00	7.071068e-01	5.259997e-04	0.000000e+00	622	77	36	526	526	82	38	219	979	74	0	0	0	0	0	0	0	0	0
6.001853	1057	6296	6239	4276	0.087985	0.076632	0.087812	0.070760	1.005682e+00	7.071068e-01	6.273969e-04	0.000000e+00	632	82	36	528	528	93	43	260	976	81	0	0	0	0	0	0	0	0	0
7.002244	1062	7354	7292	5003	0.116761	0.086629	0.116310	0.079124	1.006170e+00	7.071068e-01	6.785037e-04	0.000000e+00	661	92	41	529	529	99	43	303	970	92	0	0	0	0	0	0	0	0	0
8.003133	1066	8437	8371	5727	0.121013	0.105066	0.123255	0.097779	1.007704e+00	7.071068e-01	9.617389e-04	0.000000e+00	675	102	47	529	529	121	54	359	956	108	2	0	0	0	0	0	0	0	0
9.003243	1059	9538	9479	6494	0.136922	0.116147	0.127617	0.108323	1.007757e+00	7.071068e-01	9.122402e-04	0.000000e+00	679	100	46	529	529	122	55	399	939	117	3	0	0	0	0	0	0	0	0
10.000405	1062	10633	10571	7243	0.161017	0.144068	0.153923	0.128962	1.010016e+00	7.071068e-01	1.208701e-03	0.000000e+00	708	104	49	529	529	122	55	440	912	147	3	0	0	0	0	0	0	0	0
