Generation	Size	Frequency	Count
0.000000	1	0.001000	0
0.000000	2	0.002000	0
0.000000	3	0.003000	0
0.000000	4	0.004000	0
0.000000	5	0.005000	0
0.000000	6	0.006000	0
0.000000	7	0.007000	0
0.000000	8	0.008000	0
0.000000	9	0.009000	0
0.000000	10	0.010000	0
0.000000	1000	1.000000	1
10.000405	1	0.000942	43
10.000405	2	0.001883	19
10.000405	3	0.002825	12
10.000405	4	0.003766	8
10.000405	5	0.004708	7
10.000405	6	0.005650	7
10.000405	7	0.006591	1
10.000405	8	0.007533	2
10.000405	9	0.008475	1
10.000405	10	0.009416	1
10.000405	767	0.722222	1
10.000405	12	0.011299	1
10.000405	15	0.014124	1
