Population	Parent	Identity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	AlleleCount
767	0	0	0	0	1	0	1.000000	0.707107	0.000000	1062
1	0	387	0	0	0	1	1.000000	0.707107	8.684920	2
1	0	267	1	0	0	0	1.015989	0.707107	6.381727	1
1	0	353	1	0	0	0	1.013821	0.707107	7.801371	4
0	0	223	1	0	1	0	1.025106	0.707107	5.139824	1
1	0	341	1	0	0	0	1.008838	0.707107	7.706141	2
2	0	212	0	0	0	1	1.000000	0.707107	4.782399	3
2	0	406	1	0	0	0	1.043640	0.707107	9.087323	1
4	0	146	0	0	1	1	1.000000	0.707107	3.339682	1
2	0	356	1	0	0	0	1.104345	0.707107	7.942835	2
1	208	423	1	0	0	1	1.010625	0.707107	9.484022	12
5	0	209	0	0	0	1	1.000000	0.707107	4.721643	5
9	0	17	0	0	1	1	1.000000	0.707107	0.352480	1
0	0	18	1	0	1	0	1.023381	0.707107	0.363851	2
3	0	370	0	0	0	1	1.000000	0.707107	8.300714	18
0	0	44	1	0	1	0	1.116551	0.707107	1.068879	8
1	0	425	0	0	0	1	1.000000	0.707107	9.565955	1
8	0	292	0	0	0	1	1.000000	0.707107	6.818308	1
2	0	278	1	0	0	0	1.023361	0.707107	6.576946	5
1	314	426	1	0	0	1	1.010486	0.707107	9.578631	1
3	268	405	1	0	0	1	1.055516	0.707107	9.086772	1
0	0	143	1	0	1	0	1.025399	0.707107	3.303509	1
12	0	40	1	0	1	0	1.007300	0.707107	1.001409	3
4	0	174	1	0	0	0	1.027572	0.707107	3.986565	2
0	0	46	0	0	1	1	1.000000	0.707107	1.108708	1
1	0	229	1	0	0	0	1.054785	0.707107	5.246005	6
1	0	196	1	0	0	0	1.010423	0.707107	4.548376	1
2	0	329	0	0	1	1	1.000000	0.707107	7.512867	3
1	0	186	1	0	0	0	1.062013	0.707107	4.277710	1
2	0	268	1	0	1	0	1.055516	0.707107	6.425197	2
1	298	434	2	0	0	0	1.097037	0.707107	9.819111	10
15	0	59	1	0	1	0	1.152446	0.707107	1.342242	8
6	0	69	1	0	1	0	1.149059	0.707107	1.535212	5
3	0	306	1	0	0	0	1.006492	0.707107	7.103406	4
2	0	362	1	0	1	0	1.075216	0.707107	8.096950	4
3	0	65	0	0	1	1	1.000000	0.707107	1.476021	4
0	0	191	0	0	1	1	1.000000	0.707107	4.467622	1
3	0	222	0	0	0	1	1.000000	0.707107	5.137516	2
1	0	249	1	0	0	0	1.014313	0.707107	5.646930	6
1	334	357	2	0	0	1	1.221768	0.707107	7.978206	2
6	0	258	0	0	0	1	1.000000	0.707107	5.983022	2
1	0	433	1	0	0	0	1.004148	0.707107	9.762705	3
3	0	326	0	0	0	1	1.000000	0.707107	7.469561	1
4	0	81	0	0	0	1	1.000000	0.707107	1.805609	1
3	0	91	0	0	1	1	1.000000	0.707107	2.048700	1
1	322	431	0	0	0	2	1.000000	0.707107	9.737494	2
6	0	238	1	0	1	0	1.075608	0.707107	5.458592	2
4	0	275	1	0	0	0	1.016632	0.707107	6.530033	2
0	0	106	0	0	1	1	1.000000	0.707107	2.539965	1
5	0	113	0	0	0	1	1.000000	0.707107	2.719611	5
8	0	156	0	0	0	1	1.000000	0.707107	3.571716	8
2	0	394	1	0	0	0	1.012802	0.707107	8.849977	2
1	0	285	1	0	0	0	1.014127	0.707107	6.757462	1
1	0	432	0	0	0	1	1.000000	0.707107	9.760391	1
2	0	129	1	0	1	0	1.043437	0.707107	2.988896	2
10	0	130	1	0	1	0	1.055323	0.707107	2.995037	10
1	0	188	0	0	0	1	1.000000	0.707107	4.452787	1
5	46	132	1	0	0	1	1.131126	0.707107	3.015867	5
4	0	133	0	0	0	1	1.000000	0.707107	3.022564	4
4	0	282	0	0	0	1	1.000000	0.707107	6.683450	4
1	91	439	0	0	0	2	1.000000	0.707107	9.989458	1
3	0	263	1	0	0	0	1.038584	0.707107	6.057704	3
0	0	183	0	0	1	1	1.000000	0.707107	4.188782	1
6	0	305	0	0	1	1	1.000000	0.707107	7.087276	6
1	0	409	0	0	0	1	1.000000	0.707107	9.140754	1
3	0	317	1	0	1	0	1.004681	0.707107	7.228920	4
1	0	373	0	0	0	1	1.000000	0.707107	8.362757	1
2	0	208	1	0	1	0	1.010625	0.707107	4.678606	3
1	0	325	0	0	0	1	1.000000	0.707107	7.456176	1
1	0	389	0	0	0	1	1.000000	0.707107	8.715959	1
0	59	334	1	0	1	1	1.152446	0.707107	7.535116	1
1	183	224	0	0	0	2	1.000000	0.707107	5.161306	1
1	361	437	0	0	0	2	1.000000	0.707107	9.950165	1
1	69	412	1	0	0	1	1.149059	0.707107	9.245241	1
2	0	254	0	0	1	1	1.000000	0.707107	5.797336	2
1	0	429	0	0	0	1	1.000000	0.707107	9.723726	1
2	0	364	1	0	1	0	1.131993	0.707107	8.154419	2
5	0	236	0	0	1	1	1.000000	0.707107	5.359303	5
2	59	421	1	0	0	1	1.152446	0.707107	9.469724	2
6	8	250	0	0	0	2	1.000000	0.707107	5.688107	6
1	0	298	1	0	1	0	1.091608	0.707107	6.929955	2
2	0	299	1	0	0	0	1.024719	0.707107	6.949329	2
2	0	400	1	0	0	0	1.051138	0.707107	9.012978	2
7	0	301	1	0	1	0	1.228762	0.707107	6.964512	8
3	0	313	1	0	0	0	1.004401	0.707107	7.150186	3
1	69	436	1	0	0	1	1.149059	0.707107	9.934905	1
5	0	385	1	0	1	0	1.022988	0.707107	8.615309	5
3	0	330	0	0	0	1	1.000000	0.707107	7.514546	3
1	0	309	0	0	0	1	1.000000	0.707107	7.111602	1
2	0	311	0	0	0	1	1.000000	0.707107	7.141406	2
4	0	314	0	0	1	1	1.000000	0.707107	7.157670	5
2	0	316	1	0	0	0	1.009419	0.707107	7.208020	2
1	0	320	1	0	0	0	1.049842	0.707107	7.289694	1
3	0	322	0	0	1	1	1.000000	0.707107	7.342229	4
5	0	361	0	0	1	1	1.000000	0.707107	8.090524	6
1	0	332	0	0	0	1	1.000000	0.707107	7.519110	1
2	0	333	1	0	0	0	1.003430	0.707107	7.522600	2
4	0	381	1	0	0	0	1.026550	0.707107	8.501039	4
1	0	418	1	0	0	0	1.143402	0.707107	9.422215	1
1	0	416	1	0	0	0	1.015828	0.707107	9.366094	1
1	0	346	0	0	0	1	1.000000	0.707107	7.732524	1
1	317	430	2	0	0	0	1.062986	0.707107	9.737211	1
5	0	414	0	0	0	1	1.000000	0.707107	9.306550	5
2	0	369	0	0	0	1	1.000000	0.707107	8.274721	2
1	0	390	0	0	0	1	1.000000	0.707107	8.741501	1
1	0	415	1	0	0	0	1.089172	0.707107	9.336501	1
1	0	438	0	0	0	1	1.000000	0.707107	9.951995	1
