NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1000	1	-1	-1	0.000000	0	0	1000	1.000000	1.000000	0.000000	0	0	0
1017	1	-1	-1	1.000335	0	0	995	1.000000	1.000000	0.000000	0	0	0
1024	1	-1	-1	2.000383	0	0	990	1.000000	1.000000	0.000000	0	0	0
1024	1	-1	-1	2.000383	3	0	6	1.028328	1.000000	0.182043	1	0	0
1022	1	-1	-1	3.000911	0	0	970	1.000000	1.000000	0.000000	0	0	0
1022	1	-1	-1	3.000911	3	0	6	1.028328	1.000000	0.182043	1	0	0
1031	1	-1	-1	4.001437	0	0	966	1.000000	1.000000	0.000000	0	0	0
1031	1	-1	-1	4.001437	1	0	1	1.021382	1.000000	0.053459	1	0	0
1031	1	-1	-1	4.001437	3	0	6	1.028328	1.000000	0.182043	1	0	0
1031	1	-1	-1	4.001437	9	0	5	1.009350	1.000000	0.339325	1	0	0
1031	1	-1	-1	4.001437	32	0	0	1.003183	1.000000	1.537685	1	0	0
1028	1	-1	-1	5.001710	0	0	958	1.000000	1.000000	0.000000	0	0	0
1028	1	-1	-1	5.001710	1	0	2	1.021382	1.000000	0.053459	1	0	0
1028	1	-1	-1	5.001710	3	0	7	1.028328	1.000000	0.182043	1	0	0
1028	1	-1	-1	5.001710	9	0	4	1.009350	1.000000	0.339325	1	0	0
1028	1	-1	-1	5.001710	15	0	9	1.072143	1.000000	0.461164	1	0	0
1028	1	-1	-1	5.001710	20	0	1	1.008142	1.000000	0.656619	1	0	0
1028	1	-1	-1	5.001710	32	0	0	1.003183	1.000000	1.537685	1	0	0
1031	1	-1	-1	6.002309	0	0	944	1.000000	1.000000	0.000000	0	0	0
1031	1	-1	-1	6.002309	1	0	0	1.021382	1.000000	0.053459	1	0	0
1031	1	-1	-1	6.002309	3	0	6	1.028328	1.000000	0.182043	1	0	0
1031	1	-1	-1	6.002309	4	0	3	1.005580	1.000000	0.186498	1	0	0
1031	1	-1	-1	6.002309	9	0	4	1.009350	1.000000	0.339325	1	0	0
1031	1	-1	-1	6.002309	15	0	11	1.072143	1.000000	0.461164	1	0	0
1031	1	-1	-1	6.002309	20	0	1	1.008142	1.000000	0.656619	1	0	0
1031	1	-1	-1	6.002309	32	0	0	1.003183	1.000000	1.537685	1	0	0
1035	1	-1	-1	7.002918	0	0	922	1.000000	1.000000	0.000000	0	0	0
1035	1	-1	-1	7.002918	1	0	0	1.021382	1.000000	0.053459	1	0	0
1035	1	-1	-1	7.002918	3	0	7	1.028328	1.000000	0.182043	1	0	0
1035	1	-1	-1	7.002918	4	0	5	1.005580	1.000000	0.186498	1	0	0
1035	1	-1	-1	7.002918	9	0	6	1.009350	1.000000	0.339325	1	0	0
1035	1	-1	-1	7.002918	15	0	12	1.072143	1.000000	0.461164	1	0	0
1035	1	-1	-1	7.002918	20	0	0	1.008142	1.000000	0.656619	1	0	0
1035	1	-1	-1	7.002918	32	0	0	1.003183	1.000000	1.537685	1	0	0
1035	1	-1	-1	7.002918	42	3	8	1.042168	1.000000	1.949303	2	0	0
1028	1	-1	-1	8.003334	0	0	896	1.000000	1.000000	0.000000	0	0	0
1028	1	-1	-1	8.003334	1	0	0	1.021382	1.000000	0.053459	1	0	0
1028	1	-1	-1	8.003334	3	0	6	1.028328	1.000000	0.182043	1	0	0
1028	1	-1	-1	8.003334	4	0	9	1.005580	1.000000	0.186498	1	0	0
1028	1	-1	-1	8.003334	9	0	8	1.009350	1.000000	0.339325	1	0	0
1028	1	-1	-1	8.003334	15	0	13	1.072143	1.000000	0.461164	1	0	0
1028	1	-1	-1	8.003334	20	0	0	1.008142	1.000000	0.656619	1	0	0
1028	1	-1	-1	8.003334	32	0	0	1.003183	1.000000	1.537685	1	0	0
1028	1	-1	-1	8.003334	42	3	7	1.042168	1.000000	1.949303	2	0	0
1031	1	-1	-1	9.003427	0	0	875	1.000000	1.000000	0.000000	0	0	0
1031	1	-1	-1	9.003427	1	0	0	1.021382	1.000000	0.053459	1	0	0
1031	1	-1	-1	9.003427	3	0	5	1.028328	1.000000	0.182043	1	0	0
1031	1	-1	-1	9.003427	4	0	7	1.005580	1.000000	0.186498	1	0	0
1031	1	-1	-1	9.003427	9	0	10	1.009350	1.000000	0.339325	1	0	0
1031	1	-1	-1	9.003427	46	0	6	1.011742	1.000000	2.326978	1	0	0
1031	1	-1	-1	9.003427	15	0	15	1.072143	1.000000	0.461164	1	0	0
1031	1	-1	-1	9.003427	20	0	0	1.008142	1.000000	0.656619	1	0	0
1031	1	-1	-1	9.003427	18	0	1	1.088829	1.000000	0.571558	1	0	0
1031	1	-1	-1	9.003427	32	0	0	1.003183	1.000000	1.537685	1	0	0
1031	1	-1	-1	9.003427	42	3	9	1.042168	1.000000	1.949303	2	0	0
1031	1	-1	-1	9.003427	60	0	8	1.094172	1.000000	2.984697	1	0	0
1028	1	-1	-1	10.000684	0	0	877	1.000000	1.000000	0.000000	0	0	0
1028	1	-1	-1	10.000684	1	0	0	1.021382	1.000000	0.053459	1	0	0
1028	1	-1	-1	10.000684	3	0	5	1.028328	1.000000	0.182043	1	0	0
1028	1	-1	-1	10.000684	4	0	4	1.005580	1.000000	0.186498	1	0	0
1028	1	-1	-1	10.000684	9	0	11	1.009350	1.000000	0.339325	1	0	0
1028	1	-1	-1	10.000684	46	0	7	1.011742	1.000000	2.326978	1	0	0
1028	1	-1	-1	10.000684	15	0	12	1.072143	1.000000	0.461164	1	0	0
1028	1	-1	-1	10.000684	20	0	0	1.008142	1.000000	0.656619	1	0	0
1028	1	-1	-1	10.000684	82	0	0	1.053207	1.000000	4.123500	1	0	0
1028	1	-1	-1	10.000684	18	0	1	1.088829	1.000000	0.571558	1	0	0
1028	1	-1	-1	10.000684	32	0	0	1.003183	1.000000	1.537685	1	0	0
1028	1	-1	-1	10.000684	70	0	9	1.018757	1.000000	3.625012	1	0	0
1028	1	-1	-1	10.000684	87	20	8	1.026308	1.000000	4.494597	2	0	0
1028	1	-1	-1	10.000684	42	3	6	1.042168	1.000000	1.949303	2	0	0
1028	1	-1	-1	10.000684	60	0	5	1.094172	1.000000	2.984697	1	0	0
1028	1	-1	-1	10.000684	124	0	3	1.018351	1.000000	6.036741	1	0	0
1028	1	-1	-1	10.000684	147	0	3	1.000248	1.000000	7.024361	1	0	0
