Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1000	0	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1000	1	1	1000	1000	1	1	1	1000	0	0	0	0	0	0	0	0	0	0
1.000335	1017	1015	998	981	0.012783	0.021632	0.014586	0.021164	1.000937e+00	1.000000e+00	6.291622e-05	0.000000e+00	1011	27	16	1010	1010	28	17	44	995	22	0	0	0	0	0	0	0	0	0
2.000383	1024	2075	2051	2008	0.035156	0.034180	0.035873	0.034965	1.001363e+00	1.000000e+00	9.438129e-05	0.000000e+00	1017	48	23	1016	1016	52	23	91	990	33	1	0	0	0	0	0	0	0	0
3.000911	1022	3100	3078	3005	0.048924	0.052838	0.052401	0.053960	1.001927e+00	1.000000e+00	1.252320e-04	0.000000e+00	1020	58	28	1020	1020	60	28	133	970	50	2	0	0	0	0	0	0	0	0
4.001437	1031	4130	4099	4003	0.057226	0.067895	0.059771	0.072985	1.003137e+00	1.000000e+00	2.539356e-04	0.000000e+00	1024	69	35	1022	1022	72	36	171	966	60	5	0	0	0	0	0	0	0	0
5.001710	1028	5124	5096	4968	0.078794	0.075875	0.084258	0.085683	1.003317e+00	1.000000e+00	2.723428e-04	0.000000e+00	1026	76	35	1024	1024	86	38	218	958	62	8	0	0	0	0	0	0	0	0
6.002309	1031	6199	6168	6016	0.073715	0.097963	0.074101	0.115524	1.004392e+00	1.000000e+00	3.753031e-04	0.000000e+00	1025	75	37	1024	1024	86	39	255	944	73	14	0	0	0	0	0	0	0	0
7.002918	1035	7282	7247	7074	0.097585	0.124638	0.095791	0.141953	1.005497e+00	1.000000e+00	4.728165e-04	0.000000e+00	1026	92	46	1024	1024	102	50	301	922	98	14	1	0	0	0	0	0	0	0
8.003334	1028	8258	8230	8032	0.105058	0.144942	0.109585	0.160899	1.006393e+00	1.000000e+00	5.814449e-04	0.000000e+00	1026	100	51	1024	1024	111	55	342	896	117	13	2	0	0	0	0	0	0	0
9.003427	1031	9292	9261	9034	0.116392	0.173618	0.116424	0.190031	1.006788e+00	1.000000e+00	4.873891e-04	0.000000e+00	1026	111	59	1024	1024	128	66	380	875	134	21	1	0	0	0	0	0	0	0
10.000684	1028	10319	10291	10028	0.135214	0.169261	0.132495	0.189250	1.006334e+00	1.000000e+00	4.526997e-04	0.000000e+00	1025	106	55	1024	1024	129	66	405	877	130	19	2	0	0	0	0	0	0	0
