Generation	Size	Frequency	Count
0.000000	1	0.001000	0
0.000000	2	0.002000	0
0.000000	3	0.003000	0
0.000000	4	0.004000	0
0.000000	5	0.005000	0
0.000000	6	0.006000	0
0.000000	7	0.007000	0
0.000000	8	0.008000	0
0.000000	9	0.009000	0
0.000000	10	0.010000	0
0.000000	1000	1.000000	1
10.000684	1	0.000973	47
10.000684	2	0.001946	23
10.000684	3	0.002918	16
10.000684	4	0.003891	8
10.000684	5	0.004864	2
10.000684	6	0.005837	3
10.000684	7	0.006809	4
10.000684	8	0.007782	3
10.000684	9	0.008755	1
10.000684	10	0.009728	0
10.000684	1028	1.000000	1
10.000684	11	0.010700	2
10.000684	13	0.012646	1
10.000684	12	0.011673	1
