Generation	Size	Frequency	Count
0.000000	1	0.001000	0
0.000000	2	0.002000	0
0.000000	3	0.003000	0
0.000000	4	0.004000	0
0.000000	5	0.005000	0
0.000000	6	0.006000	0
0.000000	7	0.007000	0
0.000000	8	0.008000	0
0.000000	9	0.009000	0
0.000000	10	0.010000	0
0.000000	1000	1.000000	1
10.001012	1	0.000972	45
10.001012	2	0.001944	19
10.001012	3	0.002915	14
10.001012	4	0.003887	9
10.001012	5	0.004859	6
10.001012	6	0.005831	7
10.001012	7	0.006803	3
10.001012	8	0.007775	1
10.001012	9	0.008746	0
10.001012	10	0.009718	0
10.001012	767	0.745384	1
