Population	Parent	Identity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	AlleleCount
767	0	0	0	0	1	0	1.000000	1.000000	0.000000	1029
0	47	67	1	0	1	1	1.025517	1.000000	1.676902	6
0	264	300	1	0	0	1	1.036589	1.000000	7.768664	1
0	0	66	0	0	1	1	1.000000	1.000000	1.652492	1
2	0	133	1	0	0	0	1.088360	1.000000	3.465959	6
3	0	258	1	0	0	0	1.002880	1.000000	6.572926	3
1	0	327	1	0	0	0	1.093092	1.000000	8.542406	3
1	0	351	0	0	0	1	1.000000	1.000000	9.122389	2
0	0	8	0	0	1	1	1.000000	1.000000	0.155842	4
3	0	323	1	0	0	0	1.084220	1.000000	8.334476	2
6	0	10	1	0	1	0	1.107962	1.000000	0.171981	3
2	0	31	0	0	1	1	1.000000	1.000000	0.781208	5
8	0	45	0	0	0	1	1.000000	1.000000	1.111915	4
1	0	161	1	0	0	0	1.029626	1.000000	4.323907	5
6	0	17	0	0	1	1	1.000000	1.000000	0.409660	4
1	109	371	2	0	0	0	1.146136	1.000000	9.505721	3
1	0	384	0	0	0	1	1.000000	1.000000	9.850731	1
1	0	28	0	0	0	1	1.000000	1.000000	0.729394	4
4	0	123	1	0	1	0	1.009705	1.000000	3.305720	2
1	0	389	0	0	0	1	1.000000	1.000000	9.975339	2
0	0	37	0	0	1	1	1.000000	1.000000	0.939299	8
6	0	38	1	0	1	0	1.012506	1.000000	0.946821	1
4	0	47	1	0	1	0	1.025517	1.000000	1.201953	4
6	0	153	1	0	1	0	1.203044	1.000000	4.219216	2
3	0	122	0	0	0	1	1.000000	1.000000	3.271680	2
3	0	319	1	0	0	0	1.007681	1.000000	8.214676	1
2	0	96	0	0	1	1	1.000000	1.000000	2.611717	5
4	0	54	1	0	0	0	1.016675	1.000000	1.449973	1
2	240	335	1	0	0	1	1.012052	1.000000	8.791725	2
2	0	59	1	0	1	0	1.058707	1.000000	1.514930	1
0	0	60	2	0	1	0	1.068604	1.000000	1.547474	2
1	0	332	0	0	1	1	1.000000	1.000000	8.771985	2
1	0	179	0	0	1	1	1.000000	1.000000	4.766808	8
1	0	353	1	0	0	0	1.017868	1.000000	9.167359	2
1	0	136	0	0	1	1	1.000000	1.000000	3.564688	2
0	0	90	0	0	1	1	1.000000	1.000000	2.479077	3
0	0	71	0	0	1	1	1.000000	1.000000	1.822564	1
0	0	271	1	0	0	0	1.056470	1.000000	6.966066	7
0	0	73	1	0	1	0	1.011405	1.000000	1.842743	7
4	0	128	0	0	0	1	1.000000	1.000000	3.362938	4
1	0	276	0	0	0	1	1.000000	1.000000	7.037113	1
1	0	381	0	0	0	1	1.000000	1.000000	9.740586	3
7	0	208	1	0	1	0	1.055111	1.000000	5.409542	3
1	0	347	1	0	0	0	1.079833	1.000000	9.051682	3
5	0	81	0	0	1	1	1.000000	1.000000	1.994275	3
4	0	82	0	0	1	1	1.000000	1.000000	1.997197	4
1	0	301	1	0	0	0	1.093892	1.000000	7.788169	1
2	0	254	0	0	0	1	1.000000	1.000000	6.462096	3
3	37	289	0	0	0	2	1.000000	1.000000	7.496663	1
0	0	125	0	0	1	1	1.000000	1.000000	3.346139	1
1	336	388	1	0	0	1	1.062462	1.000000	9.934187	1
0	0	264	0	0	1	1	1.000000	1.000000	6.777284	1
2	0	238	1	0	0	0	1.042945	1.000000	6.227393	1
7	0	109	1	0	1	0	1.142387	1.000000	2.857918	8
1	0	221	0	0	1	1	1.000000	1.000000	5.745821	1
1	0	116	0	0	0	1	1.000000	1.000000	3.147368	1
1	0	378	0	0	0	1	1.000000	1.000000	9.660560	1
2	0	126	1	0	0	0	1.056929	1.000000	3.358457	2
2	153	310	2	0	0	0	1.233430	1.000000	8.024055	2
1	0	345	0	0	0	1	1.000000	1.000000	8.933661	1
1	270	379	2	0	0	0	1.059765	1.000000	9.669064	1
1	0	146	1	0	0	0	1.014897	1.000000	4.009574	1
2	0	142	1	0	0	0	1.067378	1.000000	3.711824	2
1	190	305	0	0	0	2	1.000000	1.000000	7.884889	1
2	0	212	0	0	0	1	1.000000	1.000000	5.563709	2
6	0	223	0	0	1	1	1.000000	1.000000	5.754797	6
2	0	338	1	0	0	0	1.050308	1.000000	8.828046	2
1	0	368	0	0	0	1	1.000000	1.000000	9.453369	1
2	0	280	1	0	0	0	1.032207	1.000000	7.054327	2
6	0	158	0	0	0	1	1.000000	1.000000	4.258608	6
6	0	159	0	0	1	1	1.000000	1.000000	4.265850	7
1	0	190	0	0	1	1	1.000000	1.000000	5.052593	2
4	82	321	1	0	0	1	1.059219	1.000000	8.248454	4
4	0	252	1	0	0	0	1.058649	1.000000	6.396462	4
3	0	178	1	0	1	0	1.020412	1.000000	4.753857	3
2	0	191	1	0	1	0	1.016650	1.000000	5.086700	5
3	0	268	0	0	0	1	1.000000	1.000000	6.901844	3
1	0	385	1	0	0	0	1.017421	1.000000	9.883312	1
2	0	314	1	0	0	0	1.028036	1.000000	8.101415	2
7	0	207	1	0	0	0	1.052012	1.000000	5.395121	7
5	0	210	0	0	0	1	1.000000	1.000000	5.472235	5
2	0	299	0	0	0	1	1.000000	1.000000	7.733769	2
2	0	226	0	0	0	1	1.000000	1.000000	5.772911	2
1	0	229	1	0	0	0	1.115293	1.000000	5.877268	1
1	0	270	1	0	1	0	1.013323	1.000000	6.948217	2
2	0	240	0	0	1	1	1.000000	1.000000	6.283169	4
4	0	324	1	0	0	0	1.023126	1.000000	8.341307	4
3	0	278	0	0	0	1	1.000000	1.000000	7.038417	3
1	0	275	0	0	0	1	1.000000	1.000000	6.998649	1
1	59	373	1	0	0	1	1.058707	1.000000	9.587622	1
3	0	284	1	0	0	0	1.016444	1.000000	7.291169	3
4	0	293	1	0	0	0	1.019784	1.000000	7.628834	4
3	191	248	2	0	0	0	1.106037	1.000000	6.374577	3
3	0	249	1	0	0	0	1.081304	1.000000	6.383951	3
1	0	279	0	0	0	1	1.000000	1.000000	7.050876	1
1	0	383	0	0	0	1	1.000000	1.000000	9.844577	1
1	0	352	1	0	0	0	1.117639	1.000000	9.156325	1
1	0	340	0	0	0	1	1.000000	1.000000	8.849831	1
1	0	376	0	0	0	1	1.000000	1.000000	9.639477	1
5	0	330	1	0	0	0	1.015990	1.000000	8.714167	5
3	0	336	0	0	1	1	1.000000	1.000000	8.793477	4
3	179	341	1	0	0	1	1.012389	1.000000	8.862124	3
1	0	342	0	0	0	1	1.000000	1.000000	8.880094	1
1	0	364	1	0	0	0	1.050019	1.000000	9.378148	1
1	81	344	0	0	0	2	1.000000	1.000000	8.893592	1
1	0	354	1	0	0	0	1.005202	1.000000	9.167359	1
1	159	355	1	0	0	1	1.018524	1.000000	9.190133	1
1	0	356	0	0	0	1	1.000000	1.000000	9.191098	1
1	0	357	0	0	0	1	1.000000	1.000000	9.241534	1
1	0	358	0	0	0	1	1.000000	1.000000	9.245661	1
1	0	360	0	0	0	1	1.000000	1.000000	9.279341	1
1	0	382	0	0	0	1	1.000000	1.000000	9.832880	1
