Population	Parent	Identity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	AlleleCount
912	0	0	0	0	1	0	1.000000	0.707107	0.000000	1062
2	0	153	1	0	0	0	1.009419	0.707107	7.208020	2
1	0	94	1	0	0	0	1.062013	0.707107	4.277710	1
4	0	135	1	0	0	0	1.016632	0.707107	6.530033	4
1	0	99	1	0	0	0	1.010423	0.707107	4.548376	1
2	0	173	1	0	0	0	1.104345	0.707107	7.942835	2
3	0	127	1	0	0	0	1.038584	0.707107	6.057704	3
1	154	212	2	0	0	0	1.062986	0.707107	9.737211	1
1	0	123	1	0	0	0	1.014313	0.707107	5.646930	1
2	0	138	1	0	0	0	1.023361	0.707107	6.576946	2
12	0	17	1	0	1	0	1.007300	0.707107	1.001409	12
5	0	187	1	0	1	0	1.022988	0.707107	8.615309	5
1	145	214	2	0	0	0	1.097037	0.707107	9.819111	1
2	0	177	1	0	0	0	1.075216	0.707107	8.096950	2
17	0	26	1	0	1	0	1.152446	0.707107	1.342242	18
8	0	32	1	0	0	0	1.149059	0.707107	1.535212	8
1	0	208	1	0	0	0	1.001650	0.707107	9.476062	1
1	0	130	1	0	0	0	1.015989	0.707107	6.381727	1
5	0	131	1	0	0	0	1.055516	0.707107	6.425197	5
1	0	172	1	0	0	0	1.013821	0.707107	7.801371	1
1	26	174	2	0	0	0	1.221768	0.707107	7.978206	1
1	0	140	1	0	0	0	1.014127	0.707107	6.757462	1
3	0	105	1	0	0	0	1.010625	0.707107	4.678606	3
2	0	178	1	0	1	0	1.131993	0.707107	8.154419	2
1	0	204	1	0	0	0	1.015828	0.707107	9.366094	1
6	0	73	1	0	0	0	1.062325	0.707107	3.473995	6
1	0	210	1	0	0	0	1.010486	0.707107	9.578631	1
3	0	148	1	0	0	0	1.006492	0.707107	7.103406	3
1	0	213	1	0	0	0	1.004148	0.707107	9.762705	1
2	0	59	1	0	0	0	1.043437	0.707107	2.988896	2
10	0	60	1	0	1	0	1.055323	0.707107	2.995037	10
8	0	147	1	0	0	0	1.228762	0.707107	6.964512	8
5	0	62	1	0	0	0	1.131126	0.707107	3.015867	5
4	0	184	1	0	0	0	1.026550	0.707107	8.501039	4
4	0	88	1	0	0	0	1.027572	0.707107	3.986565	4
3	0	154	1	0	1	0	1.004681	0.707107	7.228920	4
1	0	114	1	0	0	0	1.054785	0.707107	5.246005	1
1	0	145	1	0	1	0	1.091608	0.707107	6.929955	2
6	0	117	1	0	0	0	1.075608	0.707107	5.458592	6
2	0	146	1	0	0	0	1.024719	0.707107	6.949329	2
2	0	160	1	0	0	0	1.003430	0.707107	7.522600	2
3	0	152	1	0	0	0	1.004401	0.707107	7.150186	3
1	0	156	1	0	0	0	1.049842	0.707107	7.289694	1
1	0	206	1	0	0	0	1.143402	0.707107	9.422215	1
1	0	164	1	0	0	0	1.008838	0.707107	7.706141	1
2	0	192	1	0	0	0	1.012802	0.707107	8.849977	2
2	0	196	1	0	0	0	1.051138	0.707107	9.012978	2
2	0	200	1	0	0	0	1.043640	0.707107	9.087323	2
1	0	203	1	0	0	0	1.089172	0.707107	9.336501	1
