NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	Parent	Population	BirthRate	MigrationRate	DriverMutations	MigrationMutations	PassengerMutations
8	1	-1	-1	0.000000	0	0	8	1.000000	1.000000	0	0	0
9	1	-1	-1	1.088513	0	0	7	1.000000	1.000000	0	0	0
9	1	-1	-1	2.186399	0	0	8	1.000000	1.000000	0	0	0
18	1	-1	-1	3.394433	0	0	17	1.000000	1.000000	0	0	0
24	1	-1	-1	4.405098	0	0	23	1.000000	1.000000	0	0	0
35	1	-1	-1	5.413198	0	0	31	1.000000	1.000000	0	0	0
43	1	-1	-1	6.446306	0	0	37	1.000000	1.000000	0	0	0
64	1	-1	-1	7.495267	0	0	55	1.000000	1.000000	0	0	0
79	1	-1	-1	8.500522	0	0	67	1.000000	1.000000	0	0	0
96	1	-1	-1	9.509150	0	0	79	1.000000	1.000000	0	0	0
96	1	-1	-1	9.509150	4	0	10	1.014719	1.000000	1	0	0
96	1	-1	-1	9.509150	7	0	1	1.097103	1.000000	1	0	0
108	1	-1	-1	10.530272	0	0	89	1.000000	1.000000	0	0	0
108	1	-1	-1	10.530272	4	0	9	1.014719	1.000000	1	0	0
108	1	-1	-1	10.530272	7	0	1	1.097103	1.000000	1	0	0
131	1	-1	-1	11.537399	0	0	106	1.000000	1.000000	0	0	0
131	1	-1	-1	11.537399	4	0	13	1.014719	1.000000	1	0	0
131	1	-1	-1	11.537399	5	0	0	1.293649	1.000000	1	0	0
131	1	-1	-1	11.537399	7	0	1	1.097103	1.000000	1	0	0
146	1	-1	-1	12.555588	0	0	120	1.000000	1.000000	0	0	0
146	1	-1	-1	12.555588	4	0	13	1.014719	1.000000	1	0	0
146	1	-1	-1	12.555588	5	0	0	1.293649	1.000000	1	0	0
146	1	-1	-1	12.555588	7	0	1	1.097103	1.000000	1	0	0
162	1	-1	-1	13.558203	0	0	132	1.000000	1.000000	0	0	0
162	1	-1	-1	13.558203	4	0	13	1.014719	1.000000	1	0	0
162	1	-1	-1	13.558203	5	0	0	1.293649	1.000000	1	0	0
162	1	-1	-1	13.558203	6	0	0	1.163890	1.000000	1	0	0
162	1	-1	-1	13.558203	7	0	1	1.097103	1.000000	1	0	0
183	1	-1	-1	14.558479	0	0	150	1.000000	1.000000	0	0	0
183	1	-1	-1	14.558479	4	0	13	1.014719	1.000000	1	0	0
183	1	-1	-1	14.558479	5	0	0	1.293649	1.000000	1	0	0
183	1	-1	-1	14.558479	6	0	0	1.163890	1.000000	1	0	0
183	1	-1	-1	14.558479	7	0	1	1.097103	1.000000	1	0	0
183	1	-1	-1	14.558479	15	0	1	1.460206	1.000000	1	0	1
203	1	-1	-1	15.560600	0	0	169	1.000000	1.000000	0	0	0
203	1	-1	-1	15.560600	4	0	13	1.014719	1.000000	1	0	0
203	1	-1	-1	15.560600	5	0	0	1.293649	1.000000	1	0	0
203	1	-1	-1	15.560600	6	0	0	1.163890	1.000000	1	0	0
203	1	-1	-1	15.560600	7	0	1	1.097103	1.000000	1	0	0
203	1	-1	-1	15.560600	15	0	1	1.460206	1.000000	1	0	1
219	1	-1	-1	16.562061	0	0	181	1.000000	1.000000	0	0	0
219	1	-1	-1	16.562061	4	0	12	1.014719	1.000000	1	0	0
219	1	-1	-1	16.562061	5	0	0	1.293649	1.000000	1	0	0
219	1	-1	-1	16.562061	6	0	0	1.163890	1.000000	1	0	0
