Generation	NumCells	RecentBirths	RecentDeaths	RecentMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	8	0	0	0	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	8	1	1	8	8	1	1	8	0	0	0	0	0	0	0	0	0	0
1.088513	9	2	1	0	0.000000	0.222222	0.000000	0.172840	1.020247	1.000000	0.001922	0.000000	9	3	3	8	8	3	3	7	2	0	0	0	0	0	0	0	0	0
2.186399	9	11	10	0	0.222222	0.111111	0.172840	0.098765	1.004918	1.000000	0.000194	0.000000	8	4	2	8	8	5	7	8	1	0	0	0	0	0	0	0	0	0
3.394433	18	30	20	9	0.444444	0.055556	0.246914	0.052469	1.002459	1.000000	0.000103	0.000000	18	8	2	17	17	8	12	17	1	0	0	0	0	0	0	0	0	0
4.405098	24	52	36	15	0.500000	0.041667	0.250000	0.039931	1.001844	1.000000	0.000078	0.000000	23	9	2	23	23	9	15	23	1	0	0	0	0	0	0	0	0	0
5.413198	35	86	59	26	0.685714	0.114286	0.386939	0.101224	1.003921	1.000000	0.000284	0.000000	35	16	4	34	34	19	28	31	4	0	0	0	0	0	0	0	0	0
6.446306	43	118	83	35	0.767442	0.139535	0.411033	0.120065	1.003208	1.000000	0.000233	0.000000	43	16	4	43	43	21	31	37	6	0	0	0	0	0	0	0	0	0
7.495267	64	192	136	56	0.984375	0.140625	0.452881	0.120850	1.002172	1.000000	0.000159	0.000000	64	24	4	64	64	29	44	55	9	0	0	0	0	0	0	0	0	0
8.500522	79	251	180	70	1.012658	0.151899	0.493511	0.128825	1.004533	1.000000	0.000504	0.000000	78	31	6	78	78	38	57	67	12	0	0	0	0	0	0	0	0	0
9.509150	96	350	262	87	1.125000	0.187500	0.505208	0.173177	1.007205	1.000000	0.001088	0.000000	95	41	9	95	95	49	75	79	16	1	0	0	0	0	0	0	0	0
10.530272	108	439	339	99	1.222222	0.185185	0.617284	0.169410	1.009226	1.000000	0.001297	0.000000	108	50	11	107	107	61	94	89	18	1	0	0	0	0	0	0	0	0
11.537399	131	138	115	24	1.320611	0.206107	0.736904	0.194161	1.012635	1.000000	0.003033	0.000000	131	58	12	131	131	76	128	106	23	2	0	0	0	0	0	0	0	0
12.555588	146	277	239	38	1.458904	0.191781	0.919544	0.182398	1.012137	1.000000	0.002811	0.000000	145	67	13	145	145	92	155	120	24	2	0	0	0	0	0	0	0	0
13.558203	162	441	387	55	1.567901	0.203704	0.961438	0.199245	1.012483	1.000000	0.002746	0.000000	162	82	16	162	162	114	195	132	27	3	0	0	0	0	0	0	0	0
14.558479	183	603	528	74	1.672131	0.196721	1.094688	0.190809	1.012144	1.000000	0.002519	0.000000	182	90	18	181	181	127	227	150	30	3	0	0	0	0	0	0	0	0
15.560600	203	784	689	95	1.798030	0.182266	1.185808	0.178602	1.012193	1.000000	0.002570	0.000000	203	99	19	202	202	147	261	169	31	3	0	0	0	0	0	0	0	0
16.562061	219	997	886	111	1.913242	0.191781	1.321240	0.191531	1.013875	1.000000	0.002627	0.000000	218	110	23	218	218	173	305	181	34	4	0	0	0	0	0	0	0	0
17.565599	246	1238	1100	139	2.000000	0.178862	1.414634	0.179391	1.013002	1.000000	0.002404	0.000000	246	124	24	246	246	195	346	206	36	4	0	0	0	0	0	0	0	0
18.569027	291	1545	1362	184	2.161512	0.164948	1.475633	0.165232	1.011725	1.000000	0.002101	0.000000	291	141	27	291	291	223	402	247	40	4	0	0	0	0	0	0	0	0
19.575020	328	1860	1640	219	2.246951	0.155488	1.478648	0.161799	1.010854	1.000000	0.001894	0.000000	326	165	30	326	326	257	463	282	41	5	0	0	0	0	0	0	0	0
20.578394	357	2199	1950	249	2.375350	0.162465	1.545389	0.169684	1.010406	1.000000	0.001765	0.000000	356	185	34	356	356	288	524	305	46	6	0	0	0	0	0	0	0	0
21.578403	388	362	331	32	2.479382	0.157216	1.579472	0.158272	1.012158	1.000000	0.003390	0.000000	388	210	38	388	388	324	594	332	51	5	0	0	0	0	0	0	0	0
22.579157	434	777	700	73	2.626728	0.170507	1.796152	0.178301	1.020330	1.000000	0.010893	0.000000	429	238	44	429	429	369	677	368	58	8	0	0	0	0	0	0	0	0
23.579168	476	1232	1113	120	2.764706	0.178571	1.797576	0.188701	1.027041	1.000000	0.016291	0.000000	476	265	47	476	476	411	758	401	65	10	0	0	0	0	0	0	0	0
24.580208	523	1744	1578	163	2.879541	0.187380	1.838264	0.201982	1.033194	1.000000	0.022925	0.000000	519	298	56	519	519	469	864	437	75	10	1	0	0	0	0	0	0	0
25.586433	562	2250	2045	206	2.989324	0.190391	1.921597	0.203964	1.033277	1.000000	0.022594	0.000000	562	323	62	562	562	514	961	468	82	11	1	0	0	0	0	0	0	0
26.589226	618	2893	2632	260	3.168285	0.195793	2.107603	0.209238	1.034219	1.000000	0.022780	0.000000	617	365	68	616	616	589	1092	512	92	13	1	0	0	0	0	0	0	0
27.589579	676	3542	3223	318	3.328402	0.196746	2.256053	0.217209	1.036238	1.000000	0.023751	0.000000	674	410	73	674	674	670	1245	561	99	14	2	0	0	0	0	0	0	0
28.590405	727	4259	3889	369	3.514443	0.200825	2.417603	0.226519	1.038050	1.000000	0.025513	0.000000	725	456	78	725	725	762	1401	602	107	15	3	0	0	0	0	0	0	0
29.590883	782	5092	4667	425	3.675192	0.212276	2.528776	0.233711	1.043203	1.000000	0.029263	0.000000	781	500	91	781	781	851	1574	639	123	17	3	0	0	0	0	0	0	0
30.591747	849	5907	5415	491	3.809187	0.229682	2.644395	0.254666	1.048639	1.000000	0.032472	0.000000	849	544	104	847	847	947	1759	681	146	18	3	1	0	0	0	0	0	0
31.591785	911	903	841	60	3.986828	0.238200	2.803345	0.258298	1.051101	1.000000	0.033226	0.000000	907	605	115	907	907	1068	1964	723	164	20	3	1	0	0	0	0	0	0
32.592064	968	1850	1731	116	4.119835	0.248967	2.890598	0.261362	1.052826	1.000000	0.033069	0.000000	963	661	129	963	963	1177	2172	757	186	21	3	1	0	0	0	0	0	0
32.592064	1000	2292	2141	146	4.188000	0.255000	2.938667	0.263974	1.054090	1.000000	0.033368	0.000000	996	682	134	993	993	1210	2252	776	198	22	3	1	0	0	0	0	0	0
