Generation	Size	Frequency	Count
0.000000	1	0.125000	0
0.000000	2	0.250000	0
0.000000	3	0.375000	0
0.000000	4	0.500000	0
0.000000	5	0.625000	0
0.000000	6	0.750000	0
0.000000	7	0.875000	0
0.000000	8	1.000000	1
0.000000	9	1.125000	0
0.000000	10	1.250000	0
10.198244	1	0.007194	47
10.198244	2	0.014388	9
10.198244	3	0.021583	2
10.198244	4	0.028777	0
10.198244	5	0.035971	1
10.198244	6	0.043165	0
10.198244	7	0.050360	0
10.198244	8	0.057554	1
10.198244	9	0.064748	1
10.198244	10	0.071942	0
10.198244	139	1.000000	1
10.198244	33	0.237410	1
10.198244	13	0.093525	1
10.198244	19	0.136691	1
20.209154	1	0.002128	352
20.209154	2	0.004255	22
20.209154	3	0.006383	14
20.209154	4	0.008511	3
20.209154	5	0.010638	6
20.209154	6	0.012766	1
20.209154	7	0.014894	3
20.209154	8	0.017021	3
20.209154	9	0.019149	1
20.209154	10	0.021277	0
20.209154	470	1.000000	1
20.209154	94	0.200000	1
20.209154	19	0.040426	1
20.209154	38	0.080851	1
20.209154	55	0.117021	1
20.209154	77	0.163830	1
20.209154	48	0.102128	1
20.209154	15	0.031915	1
20.209154	14	0.029787	1
20.209154	53	0.112766	1
20.209154	11	0.023404	2
20.209154	21	0.044681	1
20.209154	25	0.053191	1
20.209154	16	0.034043	1
20.209154	12	0.025532	2
30.216413	1	0.001024	1089
30.216413	2	0.002047	53
30.216413	3	0.003071	26
30.216413	4	0.004094	12
30.216413	5	0.005118	10
30.216413	6	0.006141	9
30.216413	7	0.007165	4
30.216413	8	0.008188	6
30.216413	9	0.009212	5
30.216413	10	0.010235	1
30.216413	977	1.000000	1
30.216413	229	0.234391	1
30.216413	19	0.019447	2
30.216413	70	0.071648	1
30.216413	143	0.146366	1
30.216413	212	0.216991	1
30.216413	128	0.131013	1
30.216413	54	0.055271	1
30.216413	119	0.121801	1
30.216413	18	0.018424	2
30.216413	71	0.072671	1
30.216413	87	0.089048	1
30.216413	32	0.032753	1
30.216413	92	0.094166	1
30.216413	24	0.024565	1
30.216413	51	0.052201	1
30.216413	34	0.034800	2
30.216413	15	0.015353	1
30.216413	33	0.033777	1
30.216413	52	0.053224	1
30.216413	11	0.011259	4
30.216413	27	0.027636	1
30.216413	38	0.038895	1
30.216413	12	0.012282	1
30.216413	26	0.026612	1
30.216413	25	0.025589	1
30.216413	23	0.023541	2
30.216413	37	0.037871	1
30.216413	14	0.014330	1
30.216413	21	0.021494	1
30.216413	16	0.016377	3
30.216413	13	0.013306	2
30.216413	22	0.022518	1
30.640291	1	0.001000	1119
30.640291	2	0.002000	65
30.640291	3	0.003000	26
30.640291	4	0.004000	15
30.640291	5	0.005000	8
30.640291	6	0.006000	6
30.640291	7	0.007000	8
30.640291	8	0.008000	7
30.640291	9	0.009000	5
30.640291	10	0.010000	1
30.640291	1000	1.000000	1
30.640291	230	0.230000	1
30.640291	19	0.019000	2
30.640291	73	0.073000	1
30.640291	150	0.150000	1
30.640291	212	0.212000	1
30.640291	135	0.135000	1
30.640291	57	0.057000	1
30.640291	120	0.120000	1
30.640291	20	0.020000	2
30.640291	76	0.076000	1
30.640291	88	0.088000	1
30.640291	32	0.032000	1
30.640291	93	0.093000	1
30.640291	24	0.024000	1
30.640291	54	0.054000	1
30.640291	36	0.036000	1
30.640291	15	0.015000	2
30.640291	35	0.035000	2
30.640291	53	0.053000	1
30.640291	11	0.011000	1
30.640291	28	0.028000	1
30.640291	38	0.038000	2
30.640291	12	0.012000	4
30.640291	27	0.027000	1
30.640291	26	0.026000	1
30.640291	22	0.022000	2
30.640291	14	0.014000	2
30.640291	23	0.023000	1
30.640291	18	0.018000	2
30.640291	17	0.017000	1
30.640291	16	0.016000	1
