Generation	Size	Frequency	Count
0.000000	1	0.125000	0
0.000000	2	0.250000	0
0.000000	3	0.375000	0
0.000000	4	0.500000	0
0.000000	5	0.625000	0
0.000000	6	0.750000	0
0.000000	7	0.875000	0
0.000000	8	1.000000	1
0.000000	9	1.125000	0
0.000000	10	1.250000	0
10.198244	1	0.007194	39
10.198244	2	0.014388	5
10.198244	3	0.021583	1
10.198244	4	0.028777	1
10.198244	5	0.035971	0
10.198244	6	0.043165	0
10.198244	7	0.050360	2
10.198244	8	0.057554	0
10.198244	9	0.064748	0
10.198244	10	0.071942	1
10.198244	45	0.323741	1
10.198244	14	0.100719	1
20.209154	1	0.002128	227
20.209154	2	0.004255	12
20.209154	3	0.006383	6
20.209154	4	0.008511	5
20.209154	5	0.010638	6
20.209154	6	0.012766	2
20.209154	7	0.014894	2
20.209154	8	0.017021	1
20.209154	9	0.019149	1
20.209154	10	0.021277	3
20.209154	57	0.121277	1
20.209154	21	0.044681	1
30.216413	1	0.001024	591
30.216413	2	0.002047	35
30.216413	3	0.003071	15
30.216413	4	0.004094	6
30.216413	5	0.005118	6
30.216413	6	0.006141	4
30.216413	7	0.007165	1
30.216413	8	0.008188	3
30.216413	9	0.009212	3
30.216413	10	0.010235	2
30.216413	29	0.029683	1
30.216413	14	0.014330	2
30.216413	21	0.021494	1
30.216413	12	0.012282	2
30.216413	13	0.013306	1
30.640291	1	0.001000	604
30.640291	2	0.002000	39
30.640291	3	0.003000	15
30.640291	4	0.004000	7
30.640291	5	0.005000	3
30.640291	6	0.006000	5
30.640291	7	0.007000	2
30.640291	8	0.008000	3
30.640291	9	0.009000	3
30.640291	10	0.010000	1
30.640291	28	0.028000	1
30.640291	16	0.016000	1
30.640291	21	0.021000	1
30.640291	11	0.011000	2
30.640291	12	0.012000	2
30.640291	14	0.014000	1
