Population	Parent	Identity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	AlleleCount
9	0	0	0	0	1	0	1.000000	1.000000	0.000000	1000
0	0	1	0	0	1	1	1.000000	1.000000	0.282667	2
3	0	2	0	0	1	1	1.000000	1.000000	0.676268	207
0	0	3	0	0	1	1	1.000000	1.000000	1.017110	2
0	0	4	0	0	1	1	1.000000	1.000000	1.094483	1
0	2	5	0	0	1	2	1.000000	1.000000	1.340034	1
0	0	7	0	0	1	1	1.000000	1.000000	1.656099	1
0	4	8	0	0	1	2	1.000000	1.000000	2.502808	1
1	0	9	1	0	1	0	1.014578	1.000000	2.976855	1
0	0	10	0	0	1	1	1.000000	1.000000	3.099219	3
0	1	11	0	0	1	2	1.000000	1.000000	3.324278	2
0	0	12	0	0	1	2	1.000000	1.000000	3.566012	1
3	0	13	0	0	1	1	1.000000	1.000000	3.884452	10
8	0	16	0	0	1	1	1.000000	1.000000	4.307105	35
0	0	18	0	0	1	1	1.000000	1.000000	4.978503	1
0	0	20	0	0	1	1	1.000000	1.000000	5.309882	1
0	0	24	0	0	1	1	1.000000	1.000000	5.513598	1
4	0	22	0	0	1	1	1.000000	1.000000	5.327914	209
9	0	23	0	0	1	1	1.000000	1.000000	5.328067	53
0	2	25	0	0	1	2	1.000000	1.000000	5.539694	1
0	3	26	0	0	1	2	1.000000	1.000000	5.572798	1
0	10	28	1	0	1	1	1.110414	1.000000	5.908935	1
0	0	31	0	0	1	1	1.000000	1.000000	5.986372	1
0	0	30	0	0	1	1	1.000000	1.000000	5.916688	1
0	22	32	0	0	1	2	1.000000	1.000000	6.041555	1
0	13	33	0	0	1	3	1.000000	1.000000	6.191642	1
0	13	34	0	0	1	3	1.000000	1.000000	6.191642	1
4	2	36	0	0	1	2	1.000000	1.000000	6.446658	190
0	2	37	0	0	1	2	1.000000	1.000000	6.446658	1
0	0	39	0	0	1	1	1.000000	1.000000	6.649071	68
0	33	41	0	0	1	4	1.000000	1.000000	6.710856	1
1	0	42	0	0	1	1	1.000000	1.000000	6.941025	3
0	0	43	0	0	1	1	1.000000	1.000000	7.026034	1
0	16	44	0	0	1	2	1.000000	1.000000	7.059960	2
0	0	45	0	0	1	1	1.000000	1.000000	7.063498	1
0	39	50	0	0	1	2	1.000000	1.000000	7.459554	1
0	0	49	0	0	1	1	1.000000	1.000000	7.242252	1
0	2	51	0	0	1	2	1.000000	1.000000	7.653743	1
0	45	52	0	0	1	2	1.000000	1.000000	7.680665	1
0	20	53	0	0	1	3	1.000000	1.000000	7.707149	1
1	26	54	0	0	1	3	1.000000	1.000000	7.829343	1
0	3	55	0	0	1	2	1.000000	1.000000	7.862416	1
0	0	56	0	0	1	1	1.000000	1.000000	7.914514	1
0	36	58	0	0	1	3	1.000000	1.000000	7.981649	9
1	39	59	0	0	1	2	1.000000	1.000000	7.982359	58
0	32	61	0	0	1	3	1.000000	1.000000	8.029702	1
1	61	62	0	0	1	4	1.000000	1.000000	8.265624	1
0	36	64	0	0	1	3	1.000000	1.000000	8.517979	1
0	42	69	0	0	1	2	1.000000	1.000000	8.855798	1
0	51	71	0	0	1	3	1.000000	1.000000	9.005744	1
1	69	72	0	0	0	3	1.000000	1.000000	9.041306	1
0	71	76	0	0	1	4	1.000000	1.000000	9.181208	1
0	11	77	0	0	1	3	1.000000	1.000000	9.425081	1
7	22	79	0	0	1	2	1.000000	1.000000	9.513576	111
0	5	82	1	0	1	2	1.076035	1.000000	9.689194	1
1	22	83	0	0	0	2	1.000000	1.000000	9.697229	1
3	0	84	0	0	1	1	1.000000	1.000000	9.741427	117
1	22	85	0	0	1	2	1.000000	1.000000	9.758266	1
1	44	87	0	0	1	3	1.000000	1.000000	9.883843	1
0	24	89	0	0	1	2	1.000000	1.000000	9.915278	1
0	36	90	0	0	1	3	1.000000	1.000000	9.975946	1
0	36	92	0	0	1	3	1.000000	1.000000	10.111238	1
0	39	93	0	0	1	2	1.000000	1.000000	10.117481	1
1	58	96	0	0	1	4	1.000000	1.000000	10.173314	7
0	58	99	0	0	1	4	1.000000	1.000000	10.268600	1
0	42	98	1	0	1	1	1.072363	1.000000	10.181839	1
0	39	103	0	0	1	2	1.000000	1.000000	10.393426	2
0	36	106	0	0	1	3	1.000000	1.000000	10.443302	28
0	2	108	0	0	1	2	1.000000	1.000000	10.497392	1
0	0	110	0	0	1	1	1.000000	1.000000	10.553270	1
0	31	111	0	0	1	2	1.000000	1.000000	10.563171	1
1	44	114	0	0	1	3	1.000000	1.000000	10.658948	1
0	36	115	0	0	1	3	1.000000	1.000000	10.679291	1
0	12	116	0	0	1	3	1.000000	1.000000	10.723415	1
1	103	117	0	0	1	3	1.000000	1.000000	10.774600	1
0	0	118	0	0	1	1	1.000000	1.000000	10.791597	1
1	0	119	0	0	1	1	1.000000	1.000000	10.888084	1
0	39	120	0	0	1	2	1.000000	1.000000	10.892874	1
0	36	122	0	0	1	3	1.000000	1.000000	10.967877	1
2	106	123	0	0	1	4	1.000000	1.000000	10.968588	26
0	36	124	0	0	1	3	1.000000	1.000000	10.983157	2
0	56	125	0	0	1	2	1.000000	1.000000	11.014778	1
0	0	128	0	0	1	1	1.000000	1.000000	11.133200	1
0	13	130	0	0	1	2	1.000000	1.000000	11.180034	1
0	0	132	0	0	1	1	1.000000	1.000000	11.250136	1
1	0	133	0	0	0	1	1.000000	1.000000	11.257615	1
0	2	134	0	0	1	2	1.000000	1.000000	11.257689	1
0	10	136	0	0	1	2	1.000000	1.000000	11.315878	1
1	25	137	0	0	1	3	1.000000	1.000000	11.318193	1
0	77	143	0	0	1	4	1.000000	1.000000	11.366205	1
0	0	139	0	0	1	1	1.000000	1.000000	11.320480	1
0	0	140	0	0	1	1	1.000000	1.000000	11.334857	1
0	0	142	0	0	1	1	1.000000	1.000000	11.347481	1
0	7	148	1	0	1	1	1.003895	1.000000	11.446278	1
0	0	153	0	0	1	1	1.000000	1.000000	11.674222	6
0	2	150	1	0	1	1	1.229690	1.000000	11.632547	1
0	0	154	0	0	1	1	1.000000	1.000000	11.694574	2
0	0	155	0	0	1	1	1.000000	1.000000	11.717798	1
0	36	160	0	0	1	3	1.000000	1.000000	11.800284	2
0	13	158	0	0	1	2	1.000000	1.000000	11.754311	1
1	136	163	0	0	1	3	1.000000	1.000000	11.836070	1
0	0	164	0	0	1	1	1.000000	1.000000	11.837710	1
0	18	168	0	0	1	2	1.000000	1.000000	11.919772	1
0	28	167	1	0	1	2	1.110414	1.000000	11.888352	1
0	22	170	0	0	1	2	1.000000	1.000000	11.950438	1
1	0	171	0	0	1	1	1.000000	1.000000	11.964389	1
0	10	174	0	0	1	2	1.000000	1.000000	12.089519	1
1	134	175	0	0	1	3	1.000000	1.000000	12.112365	1
0	2	178	1	0	1	1	1.119613	1.000000	12.142488	1
1	0	177	0	0	1	1	1.000000	1.000000	12.119534	1
0	0	181	0	0	1	1	1.000000	1.000000	12.274026	1
2	0	182	0	0	1	1	1.000000	1.000000	12.282671	84
11	182	183	0	0	1	2	1.000000	1.000000	12.383847	75
0	116	184	0	0	1	4	1.000000	1.000000	12.407742	1
0	79	185	0	0	1	3	1.000000	1.000000	12.422325	1
0	150	186	1	0	1	3	1.229690	1.000000	12.426241	1
1	79	187	0	0	1	3	1.000000	1.000000	12.466580	3
0	0	188	0	0	1	1	1.000000	1.000000	12.487153	1
2	36	191	0	0	1	3	1.000000	1.000000	12.600528	115
0	8	193	0	0	1	3	1.000000	1.000000	12.626672	1
0	167	196	2	0	1	3	1.418427	1.000000	12.634185	1
0	103	197	0	0	1	4	1.000000	1.000000	12.643271	1
1	0	198	0	0	1	1	1.000000	1.000000	12.670073	1
0	174	199	0	0	1	3	1.000000	1.000000	12.740576	1
1	16	200	0	0	1	2	1.000000	1.000000	12.794568	1
1	110	203	0	0	1	2	1.000000	1.000000	12.973703	1
0	0	204	0	0	1	1	1.000000	1.000000	13.010660	1
0	36	206	0	0	1	3	1.000000	1.000000	13.061734	1
0	36	211	0	0	1	3	1.000000	1.000000	13.162537	3
0	13	209	0	0	1	2	1.000000	1.000000	13.105927	1
1	39	213	1	0	0	1	1.126606	1.000000	13.194400	1
0	59	218	0	0	1	3	1.000000	1.000000	13.327360	56
0	96	219	0	0	1	5	1.000000	1.000000	13.336719	1
0	79	220	0	0	1	3	1.000000	1.000000	13.356266	1
0	0	221	1	0	1	1	1.193050	1.000000	13.356507	1
0	0	222	0	0	1	2	1.000000	1.000000	13.414101	1
0	0	223	0	0	1	1	1.000000	1.000000	13.414101	1
1	206	224	0	0	0	4	1.000000	1.000000	13.421053	1
1	0	226	0	0	1	1	1.000000	1.000000	13.454474	2
1	22	227	0	0	1	2	1.000000	1.000000	13.488009	10
0	23	228	0	0	1	2	1.000000	1.000000	13.488336	1
0	84	229	0	0	1	2	1.000000	1.000000	13.504791	23
0	153	230	0	0	1	2	1.000000	1.000000	13.515694	6
0	82	233	1	0	1	4	1.076035	1.000000	13.615531	1
0	181	234	0	0	1	2	1.000000	1.000000	13.615972	1
0	22	235	0	0	1	2	1.000000	1.000000	13.630353	1
0	52	237	0	0	1	3	1.000000	1.000000	13.725051	1
1	22	241	0	0	1	3	1.000000	1.000000	13.765098	10
1	22	240	0	0	1	2	1.000000	1.000000	13.733645	2
0	160	242	1	0	1	3	1.284535	1.000000	13.767535	1
0	242	245	2	0	1	3	1.371452	1.000000	13.834268	1
0	2	248	0	0	1	2	1.000000	1.000000	13.862338	2
4	229	250	0	0	1	3	1.000000	1.000000	13.896864	23
0	0	251	0	0	1	1	1.000000	1.000000	13.917510	1
0	0	255	0	0	1	1	1.000000	1.000000	13.960114	1
1	218	253	0	0	1	4	1.000000	1.000000	13.933652	1
1	218	254	0	0	1	4	1.000000	1.000000	13.933652	55
0	0	256	0	0	1	1	1.000000	1.000000	13.960114	1
0	22	257	0	0	1	2	1.000000	1.000000	13.972074	1
1	219	258	0	0	1	6	1.000000	1.000000	13.972581	1
0	227	259	0	0	1	3	1.000000	1.000000	13.982436	3
1	50	260	0	0	1	3	1.000000	1.000000	14.003377	1
1	188	261	0	0	0	2	1.000000	1.000000	14.030711	1
2	79	263	0	0	1	3	1.000000	1.000000	14.043628	84
2	230	265	1	0	1	2	1.030959	1.000000	14.117368	4
3	191	267	1	0	1	3	1.268862	1.000000	14.175567	62
0	22	270	0	0	1	2	1.000000	1.000000	14.327889	6
0	0	271	0	0	1	1	1.000000	1.000000	14.329905	1
0	204	272	0	0	1	2	1.000000	1.000000	14.405621	1
0	55	273	0	0	1	3	1.000000	1.000000	14.432359	1
0	123	274	0	0	1	5	1.000000	1.000000	14.459118	1
0	251	275	0	0	1	2	1.000000	1.000000	14.462749	1
0	22	276	0	0	1	2	1.000000	1.000000	14.505400	1
0	158	279	0	0	1	4	1.000000	1.000000	14.536163	1
0	36	278	0	0	1	3	1.000000	1.000000	14.509959	1
1	0	280	0	0	0	1	1.000000	1.000000	14.536289	1
7	0	281	0	0	1	1	1.000000	1.000000	14.536289	71
0	279	285	0	0	1	5	1.000000	1.000000	14.654503	1
1	187	286	0	0	1	4	1.000000	1.000000	14.663281	2
0	240	289	0	0	1	3	1.000000	1.000000	14.714272	1
1	278	288	0	0	1	4	1.000000	1.000000	14.671801	1
0	197	290	0	0	1	5	1.000000	1.000000	14.716728	1
8	0	293	0	0	1	1	1.000000	1.000000	14.836369	31
1	96	295	0	0	0	5	1.000000	1.000000	14.858073	1
0	256	297	0	0	1	2	1.000000	1.000000	14.996789	1
0	140	300	0	0	1	2	1.000000	1.000000	15.048400	1
0	36	299	0	0	1	3	1.000000	1.000000	14.998545	1
1	37	303	0	0	1	3	1.000000	1.000000	15.135199	1
0	233	307	1	0	1	5	1.076035	1.000000	15.274384	1
0	182	308	0	0	1	2	1.000000	1.000000	15.288014	1
0	16	312	0	0	1	2	1.000000	1.000000	15.385106	2
0	183	314	0	0	1	3	1.000000	1.000000	15.392445	2
0	108	316	0	0	1	3	1.000000	1.000000	15.402321	1
0	36	328	0	0	1	3	1.000000	1.000000	15.645733	1
0	92	318	0	0	1	4	1.000000	1.000000	15.404094	1
0	0	321	0	0	1	1	1.000000	1.000000	15.506782	1
0	160	325	0	0	1	4	1.000000	1.000000	15.589591	1
0	22	329	0	0	1	2	1.000000	1.000000	15.661297	1
1	79	330	0	0	0	3	1.000000	1.000000	15.670456	1
0	0	331	0	0	1	1	1.000000	1.000000	15.698860	1
1	36	332	0	0	1	3	1.000000	1.000000	15.715022	1
1	23	333	0	0	1	2	1.000000	1.000000	15.750831	1
0	22	335	1	0	1	1	1.108172	1.000000	15.758849	1
0	84	336	0	0	1	2	1.000000	1.000000	15.793397	1
0	234	337	0	0	1	3	1.000000	1.000000	15.812482	1
0	259	338	0	0	1	4	1.000000	1.000000	15.820862	1
0	196	340	2	0	1	4	1.418427	1.000000	15.838810	1
0	263	341	0	0	1	4	1.000000	1.000000	15.840935	1
0	0	345	0	0	1	1	1.000000	1.000000	15.915934	1
0	36	349	0	0	1	3	1.000000	1.000000	15.941646	1
0	337	348	0	0	1	4	1.000000	1.000000	15.937499	1
0	245	350	3	0	1	3	1.469560	1.000000	15.944626	1
0	0	355	0	0	1	1	1.000000	1.000000	16.109510	1
0	39	357	0	0	1	2	1.000000	1.000000	16.157692	1
0	39	358	0	0	1	2	1.000000	1.000000	16.181149	1
0	0	359	1	0	1	0	1.083169	1.000000	16.188137	1
1	16	360	0	0	1	2	1.000000	1.000000	16.241905	3
0	0	361	0	0	1	1	1.000000	1.000000	16.290735	1
