NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	Parent	Population	BirthRate	MigrationRate	DriverMutations	MigrationMutations	PassengerMutations
8	1	-1	-1	0.000000	0	0	8	1.000000	1.000000	0	0	0
108	1	-1	-1	10.530272	0	0	13	1.000000	1.000000	0	0	0
108	1	-1	-1	10.530272	8	0	8	1.000000	1.000000	0	0	1
108	1	-1	-1	10.530272	2	0	1	1.044266	1.000000	1	0	0
108	1	-1	-1	10.530272	4	0	19	1.000000	1.000000	0	0	1
108	1	-1	-1	10.530272	6	0	0	1.000000	1.000000	0	0	1
108	1	-1	-1	10.530272	10	0	1	1.000000	1.000000	0	0	1
108	1	-1	-1	10.530272	14	0	0	1.000000	1.000000	0	0	1
108	1	-1	-1	10.530272	15	0	4	1.000000	1.000000	0	0	1
108	1	-1	-1	10.530272	16	0	3	1.000000	1.000000	0	0	1
108	1	-1	-1	10.530272	17	0	0	1.000000	1.000000	0	0	1
108	1	-1	-1	10.530272	21	17	0	1.000000	1.000000	0	0	2
108	1	-1	-1	10.530272	20	0	0	1.000000	1.000000	0	0	1
108	1	-1	-1	10.530272	22	4	6	1.000352	1.000000	1	0	1
108	1	-1	-1	10.530272	24	14	1	1.000000	1.000000	0	0	2
108	1	-1	-1	10.530272	25	0	0	1.000000	1.000000	0	0	1
108	1	-1	-1	10.530272	26	20	6	1.000000	1.000000	0	0	2
108	1	-1	-1	10.530272	27	0	1	1.092266	1.000000	1	0	0
108	1	-1	-1	10.530272	30	6	1	1.000000	1.000000	0	0	2
108	1	-1	-1	10.530272	37	8	0	1.000000	1.000000	0	0	2
108	1	-1	-1	10.530272	39	4	0	1.000000	1.000000	0	0	2
108	1	-1	-1	10.530272	42	0	1	1.000000	1.000000	0	0	1
108	1	-1	-1	10.530272	43	37	0	1.000000	1.000000	0	0	3
108	1	-1	-1	10.530272	51	16	0	1.000000	1.000000	0	0	2
108	1	-1	-1	10.530272	52	0	1	1.050003	1.000000	1	0	0
108	1	-1	-1	10.530272	56	0	2	1.000000	1.000000	0	0	1
108	1	-1	-1	10.530272	62	0	1	1.000000	1.000000	0	0	1
108	1	-1	-1	10.530272	66	8	4	1.000000	1.000000	0	0	2
108	1	-1	-1	10.530272	68	52	0	1.050003	1.000000	1	0	1
108	1	-1	-1	10.530272	69	51	1	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	0	0	8	1.000000	1.000000	0	0	0
357	1	-1	-1	20.578394	8	0	4	1.000000	1.000000	0	0	1
357	1	-1	-1	20.578394	2	0	0	1.044266	1.000000	1	0	0
357	1	-1	-1	20.578394	4	0	43	1.000000	1.000000	0	0	1
357	1	-1	-1	20.578394	6	0	0	1.000000	1.000000	0	0	1
357	1	-1	-1	20.578394	9	0	0	1.000000	1.000000	0	0	1
357	1	-1	-1	20.578394	10	0	0	1.000000	1.000000	0	0	1
357	1	-1	-1	20.578394	13	0	0	1.000000	1.000000	0	0	1
357	1	-1	-1	20.578394	14	0	0	1.000000	1.000000	0	0	1
357	1	-1	-1	20.578394	15	0	8	1.000000	1.000000	0	0	1
357	1	-1	-1	20.578394	16	0	2	1.000000	1.000000	0	0	1
357	1	-1	-1	20.578394	17	0	0	1.000000	1.000000	0	0	1
357	1	-1	-1	20.578394	21	17	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	20	0	0	1.000000	1.000000	0	0	1
357	1	-1	-1	20.578394	22	4	4	1.000352	1.000000	1	0	1
