Generation	NumSamples	Depth	TargetSampleSize	ActualSampleSize
0.000000	1	0	100	8
0.000000	1	1	100	8
0.000000	1	2	100	8
0.000000	1	3	100	8
0.000000	1	4	100	8
0.000000	1	5	100	8
0.000000	1	6	100	8
0.000000	1	7	100	8
0.000000	1	8	100	8
0.000000	1	9	100	8
0.000000	1	10	100	8
0.000000	1	0	1000	8
0.000000	1	1	1000	8
0.000000	1	2	1000	8
0.000000	1	3	1000	8
0.000000	1	4	1000	8
0.000000	1	5	1000	8
0.000000	1	6	1000	8
0.000000	1	7	1000	8
0.000000	1	8	1000	8
0.000000	1	9	1000	8
0.000000	1	10	1000	8
0.000000	2	0	200	16
0.000000	2	1	200	16
0.000000	2	2	200	16
0.000000	2	3	200	16
0.000000	2	4	200	16
0.000000	2	5	200	16
0.000000	2	6	200	16
0.000000	2	7	200	16
0.000000	2	8	200	16
0.000000	2	9	200	16
0.000000	2	10	200	16
0.000000	2	0	2000	16
0.000000	2	1	2000	16
0.000000	2	2	2000	16
0.000000	2	3	2000	16
0.000000	2	4	2000	16
0.000000	2	5	2000	16
0.000000	2	6	2000	16
0.000000	2	7	2000	16
0.000000	2	8	2000	16
0.000000	2	9	2000	16
0.000000	2	10	2000	16
0.000000	4	0	400	32
0.000000	4	1	400	32
0.000000	4	2	400	32
0.000000	4	3	400	32
0.000000	4	4	400	32
0.000000	4	5	400	32
0.000000	4	6	400	32
0.000000	4	7	400	32
0.000000	4	8	400	32
0.000000	4	9	400	32
0.000000	4	10	400	32
0.000000	4	0	4000	32
0.000000	4	1	4000	32
0.000000	4	2	4000	32
0.000000	4	3	4000	32
0.000000	4	4	4000	32
0.000000	4	5	4000	32
0.000000	4	6	4000	32
0.000000	4	7	4000	32
0.000000	4	8	4000	32
0.000000	4	9	4000	32
0.000000	4	10	4000	32
10.530272	1	0	100	42
10.530272	1	1	100	49
10.530272	1	2	100	52
10.530272	1	3	100	54
10.530272	1	4	100	58
10.530272	1	5	100	61
10.530272	1	6	100	65
10.530272	1	7	100	68
10.530272	1	8	100	76
10.530272	1	9	100	78
10.530272	1	10	100	83
10.530272	1	0	1000	107
10.530272	1	1	1000	107
10.530272	1	2	1000	107
10.530272	1	3	1000	107
10.530272	1	4	1000	107
10.530272	1	5	1000	107
10.530272	1	6	1000	107
10.530272	1	7	1000	107
10.530272	1	8	1000	107
10.530272	1	9	1000	107
10.530272	1	10	1000	107
10.530272	2	0	200	94
10.530272	2	1	200	103
10.530272	2	2	200	115
10.530272	2	3	200	120
10.530272	2	4	200	128
10.530272	2	5	200	138
10.530272	2	6	200	144
10.530272	2	7	200	153
10.530272	2	8	200	156
10.530272	2	9	200	158
10.530272	2	10	200	161
10.530272	2	0	2000	214
10.530272	2	1	2000	214
10.530272	2	2	2000	214
10.530272	2	3	2000	214
10.530272	2	4	2000	214
10.530272	2	5	2000	214
10.530272	2	6	2000	214
10.530272	2	7	2000	214
10.530272	2	8	2000	214
10.530272	2	9	2000	214
10.530272	2	10	2000	214
10.530272	4	0	400	208
10.530272	4	1	400	222
10.530272	4	2	400	241
10.530272	4	3	400	255
10.530272	4	4	400	270
10.530272	4	5	400	283
10.530272	4	6	400	297
10.530272	4	7	400	309
10.530272	4	8	400	314
10.530272	4	9	400	320
10.530272	4	10	400	324
10.530272	4	0	4000	428
10.530272	4	1	4000	428
10.530272	4	2	4000	428
10.530272	4	3	4000	428
10.530272	4	4	4000	428
10.530272	4	5	4000	428
10.530272	4	6	4000	428
10.530272	4	7	4000	428
10.530272	4	8	4000	428
10.530272	4	9	4000	428
10.530272	4	10	4000	428
20.578394	1	0	100	43
20.578394	1	1	100	53
20.578394	1	2	100	63
20.578394	1	3	100	75
20.578394	1	4	100	86
20.578394	1	5	100	88
20.578394	1	6	100	92
20.578394	1	7	100	95
20.578394	1	8	100	92
20.578394	1	9	100	96
20.578394	1	10	100	102
20.578394	1	0	1000	276
20.578394	1	1	1000	293
20.578394	1	2	1000	308
20.578394	1	3	1000	324
20.578394	1	4	1000	338
20.578394	1	5	1000	347
20.578394	1	6	1000	351
20.578394	1	7	1000	355
20.578394	1	8	1000	356
20.578394	1	9	1000	356
20.578394	1	10	1000	356
20.578394	2	0	200	102
20.578394	2	1	200	127
20.578394	2	2	200	137
20.578394	2	3	200	159
20.578394	2	4	200	171
20.578394	2	5	200	184
20.578394	2	6	200	186
20.578394	2	7	200	193
20.578394	2	8	200	193
20.578394	2	9	200	200
20.578394	2	10	200	193
20.578394	2	0	2000	554
20.578394	2	1	2000	595
20.578394	2	2	2000	634
20.578394	2	3	2000	662
20.578394	2	4	2000	685
20.578394	2	5	2000	702
20.578394	2	6	2000	709
20.578394	2	7	2000	711
20.578394	2	8	2000	712
20.578394	2	9	2000	712
20.578394	2	10	2000	712
20.578394	4	0	400	205
20.578394	4	1	400	239
20.578394	4	2	400	266
20.578394	4	3	400	302
20.578394	4	4	400	329
20.578394	4	5	400	358
20.578394	4	6	400	362
20.578394	4	7	400	385
20.578394	4	8	400	377
20.578394	4	9	400	378
20.578394	4	10	400	395
20.578394	4	0	4000	1207
20.578394	4	1	4000	1273
20.578394	4	2	4000	1326
20.578394	4	3	4000	1363
20.578394	4	4	4000	1389
20.578394	4	5	4000	1412
20.578394	4	6	4000	1419
20.578394	4	7	4000	1422
20.578394	4	8	4000	1424
20.578394	4	9	4000	1424
20.578394	4	10	4000	1424
30.591747	1	0	100	61
30.591747	1	1	100	80
30.591747	1	2	100	85
30.591747	1	3	100	95
30.591747	1	4	100	96
30.591747	1	5	100	96
30.591747	1	6	100	92
30.591747	1	7	100	96
30.591747	1	8	100	96
30.591747	1	9	100	95
30.591747	1	10	100	100
30.591747	1	0	1000	453
30.591747	1	1	1000	490
30.591747	1	2	1000	540
30.591747	1	3	1000	577
30.591747	1	4	1000	611
30.591747	1	5	1000	659
30.591747	1	6	1000	693
30.591747	1	7	1000	731
30.591747	1	8	1000	755
30.591747	1	9	1000	786
30.591747	1	10	1000	803
30.591747	2	0	200	103
30.591747	2	1	200	137
30.591747	2	2	200	159
30.591747	2	3	200	182
30.591747	2	4	200	189
30.591747	2	5	200	192
30.591747	2	6	200	183
30.591747	2	7	200	195
30.591747	2	8	200	195
30.591747	2	9	200	191
30.591747	2	10	200	190
30.591747	2	0	2000	800
30.591747	2	1	2000	896
30.591747	2	2	2000	991
30.591747	2	3	2000	1090
30.591747	2	4	2000	1179
30.591747	2	5	2000	1273
30.591747	2	6	2000	1369
30.591747	2	7	2000	1463
30.591747	2	8	2000	1534
30.591747	2	9	2000	1583
30.591747	2	10	2000	1601
30.591747	4	0	400	213
30.591747	4	1	400	274
30.591747	4	2	400	332
30.591747	4	3	400	378
30.591747	4	4	400	383
30.591747	4	5	400	382
30.591747	4	6	400	390
30.591747	4	7	400	377
30.591747	4	8	400	379
30.591747	4	9	400	385
30.591747	4	10	400	393
30.591747	4	0	4000	1684
30.591747	4	1	4000	1868
30.591747	4	2	4000	2059
30.591747	4	3	4000	2249
30.591747	4	4	4000	2424
30.591747	4	5	4000	2613
30.591747	4	6	4000	2798
30.591747	4	7	4000	2959
30.591747	4	8	4000	3100
30.591747	4	9	4000	3187
30.591747	4	10	4000	3214
32.592064	1	0	100	60
32.592064	1	1	100	73
32.592064	1	2	100	84
32.592064	1	3	100	90
32.592064	1	4	100	94
32.592064	1	5	100	98
32.592064	1	6	100	98
32.592064	1	7	100	94
32.592064	1	8	100	98
32.592064	1	9	100	98
32.592064	1	10	100	98
32.592064	1	0	1000	469
32.592064	1	1	1000	523
32.592064	1	2	1000	563
32.592064	1	3	1000	613
32.592064	1	4	1000	660
32.592064	1	5	1000	704
32.592064	1	6	1000	747
32.592064	1	7	1000	783
32.592064	1	8	1000	832
32.592064	1	9	1000	863
32.592064	1	10	1000	888
32.592064	2	0	200	107
32.592064	2	1	200	140
32.592064	2	2	200	170
32.592064	2	3	200	187
32.592064	2	4	200	188
32.592064	2	5	200	198
32.592064	2	6	200	196
32.592064	2	7	200	191
32.592064	2	8	200	195
32.592064	2	9	200	189
32.592064	2	10	200	195
32.592064	2	0	2000	865
32.592064	2	1	2000	969
32.592064	2	2	2000	1070
32.592064	2	3	2000	1178
32.592064	2	4	2000	1280
32.592064	2	5	2000	1384
32.592064	2	6	2000	1493
32.592064	2	7	2000	1583
32.592064	2	8	2000	1677
32.592064	2	9	2000	1751
32.592064	2	10	2000	1785
32.592064	4	0	400	208
32.592064	4	1	400	271
32.592064	4	2	400	327
32.592064	4	3	400	363
32.592064	4	4	400	381
32.592064	4	5	400	384
32.592064	4	6	400	391
32.592064	4	7	400	383
32.592064	4	8	400	388
32.592064	4	9	400	389
32.592064	4	10	400	389
32.592064	4	0	4000	1756
32.592064	4	1	4000	1956
32.592064	4	2	4000	2161
32.592064	4	3	4000	2380
32.592064	4	4	4000	2578
32.592064	4	5	4000	2801
32.592064	4	6	4000	3002
32.592064	4	7	4000	3199
32.592064	4	8	4000	3384
32.592064	4	9	4000	3512
32.592064	4	10	4000	3572
32.592064	1	0	100	60
32.592064	1	1	100	69
32.592064	1	2	100	87
32.592064	1	3	100	91
32.592064	1	4	100	100
32.592064	1	5	100	91
32.592064	1	6	100	99
32.592064	1	7	100	94
32.592064	1	8	100	96
32.592064	1	9	100	98
32.592064	1	10	100	100
32.592064	1	0	1000	476
32.592064	1	1	1000	515
32.592064	1	2	1000	564
32.592064	1	3	1000	612
32.592064	1	4	1000	658
32.592064	1	5	1000	699
32.592064	1	6	1000	748
32.592064	1	7	1000	787
32.592064	1	8	1000	825
32.592064	1	9	1000	858
32.592064	1	10	1000	892
32.592064	2	0	200	109
32.592064	2	1	200	136
32.592064	2	2	200	166
32.592064	2	3	200	186
32.592064	2	4	200	195
32.592064	2	5	200	202
32.592064	2	6	200	193
32.592064	2	7	200	193
32.592064	2	8	200	198
32.592064	2	9	200	191
32.592064	2	10	200	199
32.592064	2	0	2000	868
32.592064	2	1	2000	965
32.592064	2	2	2000	1078
32.592064	2	3	2000	1176
32.592064	2	4	2000	1281
32.592064	2	5	2000	1386
32.592064	2	6	2000	1495
32.592064	2	7	2000	1584
32.592064	2	8	2000	1676
32.592064	2	9	2000	1751
32.592064	2	10	2000	1786
32.592064	4	0	400	207
32.592064	4	1	400	267
32.592064	4	2	400	336
32.592064	4	3	400	364
32.592064	4	4	400	395
32.592064	4	5	400	388
32.592064	4	6	400	382
32.592064	4	7	400	385
32.592064	4	8	400	388
32.592064	4	9	400	389
32.592064	4	10	400	390
32.592064	4	0	4000	1741
32.592064	4	1	4000	1961
32.592064	4	2	4000	2163
32.592064	4	3	4000	2383
32.592064	4	4	4000	2599
32.592064	4	5	4000	2797
32.592064	4	6	4000	3002
32.592064	4	7	4000	3197
32.592064	4	8	4000	3380
32.592064	4	9	4000	3516
32.592064	4	10	4000	3569
